Cochlearia_excelsa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
g27213	1164	AT1G13220.3	AT1G13220.3	orthologue	GO:0006974;GO:0035861;GO:0097298;GO:0006997;GO:0005737;GO:0034399;GO:0005515;GO:0005654;GO:0005634;GO:0005652;GO:0031965	Nuclear matrix constituent protein-like protein;Protein CROWDED NUCLEI 2 (Protein LITTLE NUCLEI 2)
g27214	254					
g27215	122					
g27216	210					
g27217	297					
g27218	180					
g27219	342	AT1G13260.1	AT1G13260.1	orthologue	GO:0045892;GO:0000976;GO:0003700;GO:0071456;GO:0009741;GO:0048366;GO:0009910;GO:0048527;GO:0005634;GO:0003677;GO:0009873;GO:0006355	AP2/ERF and B3 domain-containing transcription factor RAV1 (Ethylene-responsive transcription factor RAV1) (Protein RELATED TO ABI3/VP1 1)
g2722	349	AT3G48360.1	AT3G48360.1	orthologue	GO:0009753;GO:0009734;GO:0009409;GO:0032204;GO:0009611;GO:0009737;GO:0009738;GO:0005515;GO:0009733;GO:0005737;GO:0010182;GO:0003700;GO:0042542;GO:0009651;GO:0009553;GO:0007623;GO:0005516;GO:0009751;GO:0016567;GO:0005634;GO:0009743;GO:0006355;GO:0010167;GO:0009555;GO:0008270;GO:0009725	BTB and TAZ domain protein 2;BTB/POZ and TAZ domain-containing protein 2 (BTB and TAZ domain protein 2)
g27220	111	AT1G13330.1	AT1G13330.1	other	GO:0120231;GO:0051026;GO:0010774;GO:0005634;GO:0000794;GO:0000709;GO:0003690;GO:0007129;GO:0120230	Homologous-pairing protein 2 homolog (Protein AHP2) (AtAHP2) (Protein ARABIDOPSIS HOMOLOG PAIRING 2) (Protein HOP2) (AtHOP2)
g27221	404	AT1G13340.1	AT1G13340.1	orthologue	GO:0005575;GO:0015031;GO:0008104;GO:0003674;GO:0006979	Regulator of Vps4 activity in the MVB pathway protein (Unknown protein)
g27222	164	AT1G13390.1	AT1G13390.1	orthologue	GO:0005634;GO:0003674	At1g13390 (T6J4.14 protein) (Translocase subunit seca)
g27223	151	AT1G13440.1	AT1G13440.1	other	GO:0006094;GO:0006096;GO:0005634;GO:0005739;GO:0016620;GO:0009506;GO:0046686;GO:0005515;GO:0009507;GO:0005737;GO:0009505;GO:0008270;GO:0009408;GO:0051287;GO:0005829;GO:0045893;GO:0005886;GO:0004365;GO:0005576;GO:0050661;GO:1901149;GO:0005507;GO:0005777;GO:0005730;GO:0003677	Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic (EC 1.2.1.12) (NAD-dependent glyceraldehydephosphate dehydrogenase C subunit 2);glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) (EC 1.2.1.12)
g27224	340	AT1G12855.1, AT1G12870.1, AT1G13200.1	AT1G12855.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0000325;GO:0004842;GO:0031146;GO:0005515	Putative F-box protein At1g12855;Putative F-box/kelch-repeat protein At1g12870;Putative F-box/kelch-repeat protein At1g13200
g27225	108	AT2G25185.1	AT2G25185.1	orthologue	GO:0008150;GO:0003674;GO:0005576;GO:0031640;GO:0050832	Putative defensin-like protein 298
g27226	79	AT1G13607.1	AT1G13607.1	orthologue	GO:0010039;GO:0003674;GO:0005576;GO:0031640;GO:0050832	Defensin-like protein 286
g27227	664	AT1G13640.1	AT1G13640.1	orthologue	GO:0004430;GO:0005575;GO:0005524	Phosphatidylinositol 4-kinase gamma 6 (AtPI4Kgamma6) (PI-4Kgamma6) (PI4K gamma 6) (EC 2.7.1.67)
g27228	122	AT4G12250.1	AT4G12250.1	other	GO:0050378;GO:0005802;GO:0005768;GO:0005797;GO:0005794;GO:0032580	UDP-glucuronate 4-epimerase 5 (EC 5.1.3.6) (UDP-glucuronic acid epimerase 5)
g27229	68	AT5G11240.1	AT5G11240.1	other	GO:0034455;GO:0003674;GO:0005634;GO:0006364;GO:0005730;GO:0046345	At5g11240 (Transducin family protein / WD-40 repeat family protein)
g2723	360	AT3G48340.1	AT3G48340.1	orthologue	GO:0005576;GO:0051603;GO:0004197;GO:0005615;GO:0005764;GO:0005783;GO:0006508;GO:0008234	KDEL-tailed cysteine endopeptidase CEP2 (EC 3.4.22.-)
g27230	303	AT1G13640.1	AT1G13640.1	other	GO:0004430;GO:0005575;GO:0005524	Phosphatidylinositol 4-kinase gamma 6 (AtPI4Kgamma6) (PI-4Kgamma6) (PI4K gamma 6) (EC 2.7.1.67)
g27231	312				GO:0005515	
g27232	178	AT3G09160.1, AT5G03480.1, AT5G03495.1, AT5G05430.2, AT5G53700.1	AT5G03480.1	other	GO:0003676;GO:0008150;GO:0005575;GO:0008143;GO:0003723;GO:0005634;GO:0016607;GO:0005739;GO:0009507;GO:0000381;GO:0003729	RNA-binding (RRM/RBD/RNP motifs) family protein;RNA-binding protein
g27233	70					
g27234	449				GO:0005515	
g27235	396	AT1G13640.1	AT1G13640.1	other	GO:0004430;GO:0005575;GO:0005524	Phosphatidylinositol 4-kinase gamma 6 (AtPI4Kgamma6) (PI-4Kgamma6) (PI4K gamma 6) (EC 2.7.1.67)
g27236	337					
g27237	186	AT3G09160.1, AT5G03480.1, AT5G03495.1, AT5G05430.2, AT5G53700.1	AT5G03480.1	other	GO:0003676;GO:0008150;GO:0005575;GO:0008143;GO:0003723;GO:0005634;GO:0016607;GO:0005739;GO:0009507;GO:0000381;GO:0003729	RNA-binding (RRM/RBD/RNP motifs) family protein;RNA-binding protein
g27238	431				GO:0005515	
g27239	389	AT1G13640.1	AT1G13640.1	other	GO:0004430;GO:0005575;GO:0005524	Phosphatidylinositol 4-kinase gamma 6 (AtPI4Kgamma6) (PI-4Kgamma6) (PI4K gamma 6) (EC 2.7.1.67)
g2724	133	AT5G63150.1	AT5G63150.1	orthologue	GO:0003674;GO:0005575;GO:0045862;GO:0008150;GO:0005739	Small ribosomal subunit protein mS38
g27240	284					
g27241	224	AT3G09160.1, AT5G03480.1, AT5G03495.1, AT5G05430.2, AT5G53700.1	AT5G03480.1	other	GO:0003676;GO:0008150;GO:0005575;GO:0008143;GO:0003723;GO:0005634;GO:0016607;GO:0005739;GO:0009507;GO:0000381;GO:0003729	RNA-binding (RRM/RBD/RNP motifs) family protein;RNA-binding protein
g27242	325				GO:0005515	
g27243	352	AT1G13640.1	AT1G13640.1	other	GO:0004430;GO:0005575;GO:0005524	Phosphatidylinositol 4-kinase gamma 6 (AtPI4Kgamma6) (PI-4Kgamma6) (PI4K gamma 6) (EC 2.7.1.67)
g27244	150					
g27245	177	AT1G13690.1	AT1G13690.1	orthologue	GO:0003729;GO:0005576;GO:0005634;GO:0003723;GO:0003676	ATPase E1 (AtE1)
g27246	520	AT1G13710.1	AT1G13710.1	orthologue	GO:0008284;GO:0020037;GO:0048437;GO:0010338;GO:0046622;GO:0005783;GO:0035265;GO:0010075;GO:0016705;GO:0005506;GO:0009507;GO:0040009;GO:0004497;GO:0016020	Cytochrome P450 78A5 (EC 1.14.-.-) (Protein KLUH)
g27247	432	AT1G13730.1	AT1G13730.1	orthologue	GO:0005737;GO:0003729;GO:0005829;GO:0034063;GO:1990904;GO:0003676;GO:0003723	At1g13730 (Expressed protein) (F21F23.16 protein) (Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein)
g27248	441	AT1G13770.1	AT1G13770.1	orthologue	GO:0003674;GO:0005575;GO:0016020	Protein root UVB sensitive 3;Protein root UVB sensitive/RUS domain-containing protein
g27249	446	AT1G13880.2	AT1G13880.2	orthologue	GO:0003674;GO:0005634;GO:0000118	At1g13880 (ELM2 domain-containing protein) (F16A14.9);ELM2 domain-containing protein
g2725	617	AT3G48250.1	AT3G48250.1	orthologue	GO:0005739;GO:0003674;GO:0008380;GO:0009507;GO:0005515	Pentatricopeptide repeat-containing protein At3g48250, chloroplastic
g27250	661	AT1G13900.1	AT1G13900.1	orthologue	GO:0005794;GO:0006626;GO:0005739;GO:0009507;GO:0005515;GO:0045040;GO:0005740;GO:0009941;GO:0003993;GO:0005576;GO:0005802;GO:0005622;GO:0005737;GO:0030943;GO:0006109;GO:0005768;GO:0046872;GO:0016787	Probable inactive purple acid phosphatase 2
g27251	967	AT1G13940.1	AT1G13940.1	orthologue	GO:0003674;GO:0005634	F16A14.15 (T-box transcription factor, putative (DUF863))
g27252	522	AT1G13960.1	AT1G13960.1	orthologue	GO:0000976;GO:0006355;GO:0009723;GO:0009753;GO:0005634;GO:1900425;GO:0043565;GO:1900150;GO:0009751;GO:0003700;GO:0009651;GO:0003677;GO:0006952;GO:0046872	Probable WRKY transcription factor 4 (WRKY DNA-binding protein 4);WRKY DNA-binding protein 4
g27253	1453	AT1G13980.1	AT1G13980.1	orthologue	GO:0009793;GO:0009942;GO:0070417;GO:0016192;GO:0005515;GO:0071555;GO:0048765;GO:0048209;GO:0042803;GO:0032012;GO:0005886;GO:0005737;GO:0006897;GO:0010087;GO:0009826;GO:0042802;GO:0010311;GO:0005768;GO:0001736;GO:0010540;GO:0032509;GO:0000911;GO:0009880;GO:0007155;GO:0005829;GO:0005085;GO:0010292;GO:0010008;GO:0010274;GO:0015031	ARF guanine-nucleotide exchange factor GNOM (Pattern formation protein EMB30) (Protein EMBRYO DEFECTIVE 30) (Protein MIZU-KUSSEI2) (Protein VASCULAR NETWORK 7)
g27254	265	AT1G13990.3	AT1G13990.3	orthologue	GO:0009507;GO:0003674	AT4g27310/M4I22_120 (At1g13990/F16A14.28) (Plant/protein);Plant/protein
g27255	101	AT5G37630.1	AT5G37630.1	other	GO:0000793;GO:0003674;GO:0009793;GO:0007076;GO:0009506;GO:0000796;GO:0005634;GO:0051301	ARM repeat superfamily protein
g27256	438	AT1G14000.1	AT1G14000.1	orthologue	GO:0009742;GO:1902074;GO:0004674;GO:0071333;GO:0004709;GO:0010828;GO:0004712;GO:0009733;GO:0005576;GO:0009734;GO:0005515;GO:0010305;GO:0000325;GO:0007165;GO:0005634;GO:0005524;GO:0004672;GO:0006468	Serine/threonine-protein kinase VIK (EC 2.7.11.1) (VH1-interacting kinase)
g27257	523	AT1G14080.1	AT1G14080.1	other	GO:0009969;GO:0009651;GO:0006486;GO:0031127;GO:0042546;GO:0016757;GO:0008417;GO:0005794;GO:0008107;GO:0032580;GO:0071555;GO:0016020	Fucosyltransferase 6 (AtFUT6) (EC 2.4.1.-)
g27258	99					
g27259	369					
g2726	222	AT1G09870.1	AT1G09870.1	other	GO:0005576;GO:0016791;GO:0005783;GO:0003993;GO:0052745;GO:0000325;GO:0005886	Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (EC 3.1.3.80) (2,3-bisphosphoglycerate 3-phosphatase)
g27260	163					
g27261	490	AT1G14230.1	AT1G14230.1	orthologue	GO:0004050;GO:0009507;GO:0009134;GO:0017110;GO:0016020;GO:0005524;GO:0016787	Probable apyrase 4 (AtAPY4) (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (NTPDase) (Nucleoside triphosphate diphosphohydrolase 4)
g27262	99	AT1G14290.1	AT1G14290.1	other	GO:0005794;GO:0016491;GO:0008610;GO:0102772;GO:0009640;GO:0005506;GO:0000170;GO:0046520;GO:0005789;GO:0005783;GO:0016020	Sphinganine C4-monooxygenase 2 (EC 1.14.18.5) (Sphingoid C4-hydroxylase 2) (Sphingoid base hydroxylase 2);Sphingoid base hydroxylase 2
g27263	250	AT1G14310.1	AT1G14310.1	orthologue	GO:0008150;GO:0009507;GO:0003674;GO:0016787	F14L17.7 protein (Haloacid dehalogenase-like hydrolase (HAD) superfamily protein)
g27264	359	AT1G14330.1	AT1G14330.1	orthologue	GO:0005634;GO:0003674;GO:0005515	At1g14330/F14L17_7 (F14L17.10 protein) (Galactose oxidase/kelch repeat superfamily protein)
g27265	195	AT1G14345.1	AT1G14345.1	orthologue	GO:0009535;GO:0009507;GO:0003674;GO:0009534;GO:0005576	NAD(P)-linked oxidoreductase superfamily protein
g27266	186	AT1G14400.1	AT1G14400.1	orthologue	GO:0043161;GO:0004842;GO:0061631;GO:0005829;GO:0006511;GO:0000209;GO:0005634;GO:0016567;GO:0009910;GO:0010228;GO:0009965;GO:0006281;GO:0140936;GO:0005524	Ubiquitin-conjugating enzyme E2 1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 1) (Ubiquitin carrier protein 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase 1)
g27267	268	AT1G14410.1	AT1G14410.1	orthologue	GO:0032211;GO:0006355;GO:0003729;GO:0005576;GO:0009507;GO:0003697;GO:0006952;GO:0003677;GO:0042644;GO:0006281;GO:0042162;GO:0000781;GO:0009627;GO:0009863;GO:0032204;GO:1990391	Single-stranded DNA-binding protein WHY1, chloroplastic (Protein PLASTID TRANSCRIPTIONALLY ACTIVE 1) (Protein WHIRLY 1) (AtWHY1)
g27268	454	AT1G14420.1	AT1G14420.1	orthologue	GO:0030570;GO:0045490;GO:0005737;GO:0016829;GO:0005576;GO:0009664;GO:0046872	Probable pectate lyase 3 (EC 4.2.2.2) (Pectate lyase A2)
g27269	568	AT1G14430.1	AT1G14430.1	orthologue	GO:0005576;GO:0003674;GO:0016020	F14L17.20 protein (Glyoxal oxidase-related protein)
g2727	302	AT3G48210.1	AT3G48210.1	orthologue	GO:0007059;GO:0003674;GO:0005634;GO:0031262;GO:0051301	Kinetochore protein SPC25 homolog
g27270	106	AT1G14480.1, AT1G14500.1	AT1G14480.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0016020;GO:0005515	Ankyrin repeat family protein;Ankyrin repeat family protein (F14L17.26 protein);Ankyrin repeat family protein (F14L17.28 protein)
g27271	224	AT1G09870.1	AT1G09870.1	other	GO:0005576;GO:0016791;GO:0005783;GO:0003993;GO:0052745;GO:0000325;GO:0005886	Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (EC 3.1.3.80) (2,3-bisphosphoglycerate 3-phosphatase)
g27272	120	AT1G14500.1	AT1G14500.1	other	GO:0005575;GO:0003674;GO:0016020	Ankyrin repeat family protein (F14L17.28 protein)
g27273	237	AT1G14490.2	AT1G14490.2	orthologue	GO:0005634;GO:0003680;GO:0009507;GO:0003700	AT-hook motif nuclear-localized protein;AT-hook motif nuclear-localized protein 28
g27274	229	AT1G14510.1	AT1G14510.1	other	GO:0005634;GO:0006355;GO:0003712;GO:0000976;GO:0035064;GO:0006325;GO:0008270;GO:0042393	PHD finger protein ALFIN-LIKE 7 (Protein AL7)
g27275	313	AT1G14520.3	AT1G14520.3	orthologue	GO:0005737;GO:0019310;GO:0050113;GO:0005506;GO:0006949;GO:0019853	Inositol oxygenase (EC 1.13.99.1) (Myo-inositol oxygenase);Inositol oxygenase 1 (EC 1.13.99.1) (Myo-inositol oxygenase 1) (AtMIOX1) (MI oxygenase 1)
g27276	152					
g27277	331				GO:0003676;GO:0008270;GO:0015074	
g27278	160					
g27279	290	AT1G14530.2	AT1G14530.2	orthologue	GO:0046790;GO:0009705;GO:0005739;GO:0005774	Protein TOM THREE HOMOLOG 1;Tobamovirus multiplication-like protein (DUF1084)
g2728	3025	AT3G48190.2	AT3G48190.2	orthologue	GO:0007129;GO:0008380;GO:0006974;GO:0032204;GO:0051321;GO:0010332;GO:0009506;GO:0006303;GO:0006281;GO:0010212;GO:0005634;GO:0043247;GO:0045003;GO:0004674;GO:0000285;GO:0033044;GO:0048609;GO:0005515;GO:0003677;GO:0005524;GO:0106310;GO:0016301	Serine/threonine-protein kinase ATM (EC 2.7.11.1);Serine/threonine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated homolog) (AtATM)
g27280	266	AT1G14540.1	AT1G14540.1	orthologue	GO:0020037;GO:0071456;GO:0004601;GO:0140825;GO:0005576;GO:0006979;GO:0042744;GO:0046872	Peroxidase 4 (Atperox P4) (EC 1.11.1.7) (ATP46)
g27281	1106	AT1G14610.1	AT1G14610.1	other	GO:0006438;GO:0005829;GO:0002161;GO:0005739;GO:0004832;GO:0009793;GO:0005576;GO:0009507;GO:0005524;GO:0004812;GO:0006418;GO:0000166	Valine--tRNA ligase, mitochondrial 1 (EC 6.1.1.9) (AtSYV1) (Protein TWIN 2) (Valyl-tRNA synthetase) (ValRS)
g27282	285	AT1G14685.1	AT1G14685.1	orthologue	GO:1901002;GO:0000987;GO:0003700;GO:0080157;GO:0005634;GO:0043565;GO:0005515;GO:0009723;GO:0050793;GO:0001222;GO:0003677;GO:1990837	Protein BASIC PENTACYSTEINE2 (AtBPC2) (GAGA-binding transcriptional activator BBR/BPC2)
g27283	544	AT1G14750.3	AT1G14750.3	orthologue	GO:0000082;GO:0005634;GO:0051026;GO:0000307;GO:0005737;GO:0000724;GO:0016538;GO:0051301;GO:0007129	Cyclin family protein;Cyclin-SDS (Protein SOLO DANCERS)
g27284	634	AT1G14780.1	AT1G14780.1	other	GO:2000031;GO:0005634;GO:0009626;GO:0003674;GO:0005886;GO:0006952;GO:0012501	MACPF domain-containing protein At1g14780
g27285	230	AT1G14820.3	AT1G14820.3	other	GO:0005575;GO:0003674;GO:0016020	AT1G14820 protein (Sec14p-like phosphatidylinositol transfer family protein);Putative phosphatidylinositol/ phosphatidylcholine transfer protein (Sec14p-like phosphatidylinositol transfer family protein)
g27286	206	AT1G14890.1	AT1G14890.1	orthologue	GO:0009827;GO:0005739;GO:0043086;GO:0004857;GO:0009505;GO:0046910;GO:0048046	Plant invertase/pectin methylesterase inhibitor superfamily protein
g27287	98	AT1G14980.1	AT1G14980.1	other	GO:0005737;GO:0005524;GO:0005576;GO:0005829;GO:0006457;GO:0051087;GO:0051085;GO:0005739;GO:0009408;GO:0051082;GO:0044183;GO:0046872;GO:0005507	10 kDa chaperonin, mitochondrial (Chaperonin 10) (CPN10) (Protein groES);Protein groES
g27288	353	AT1G15040.1	AT1G15040.1	orthologue	GO:2000032;GO:0005575;GO:0016811;GO:0016740;GO:0005829;GO:0016787	Putative glutamine amidotransferase GAT1_2.1 (EC 2.4.2.-) (Class I glutamine amidotransferase) (GAT1_2 domain-containing protein 1)
g27289	157	AT2G23990.2	AT2G23990.2	orthologue	GO:0005886;GO:0016020;GO:0008150;GO:0009055;GO:0098552	Early nodulin-like protein 11;Early nodulin-like protein 11 (AtENODL11) (Phytocyanin-like protein ENODL11)
g2729	446	AT3G47520.1	AT3G47520.1	orthologue	GO:0005515;GO:0005829;GO:0009706;GO:0009570;GO:0009507;GO:0009793;GO:0042742;GO:0005737;GO:0016464;GO:0048046;GO:0005739;GO:0009941;GO:0006108;GO:0009532;GO:0009536;GO:0030060;GO:0009409;GO:0000325;GO:0045037;GO:0009658;GO:0062091;GO:0010319;GO:0006099;GO:0016491;GO:0016615;GO:0003824;GO:0016616	Malate dehydrogenase, chloroplastic (EC 1.1.1.37) (Chloroplastic malate dehydrogenase) (Chloroplastic MDH) (cpNAD-MDH) (Plastidic NAD-dependent malate dehydrogenase) (pNAD-MDH)
g27290	646					
g27291	289	AT1G15080.1	AT1G15080.1	orthologue	GO:0006644;GO:0046839;GO:0005737;GO:0016020;GO:0008195;GO:0009738;GO:0003993	Lipid phosphate phosphatase 2 (AtLPP2) (EC 3.1.3.-) (Phosphatidic acid phosphatase 2) (AtPAP2) (Prenyl diphosphate phosphatase)
g27292	161	AT1G15100.1	AT1G15100.1	orthologue	GO:0061630;GO:0016567;GO:0009789;GO:0004842;GO:0009651;GO:0005515;GO:0047484;GO:0005575;GO:0005634;GO:0005737;GO:0008270;GO:0009738	E3 ubiquitin-protein ligase RHA2A (EC 2.3.2.27) (RING-H2 finger A2a) (RING-H2 zinc finger protein RHA2a) (RING-type E3 ubiquitin transferase RHA2A)
g27293	93	AT1G15120.2, AT2G01090.1	AT1G15120.2	other	GO:0005739;GO:0006122;GO:0003674;GO:0005829;GO:0005576;GO:0005743;GO:0005750	Complex III subunit VI (Mitochondrial hinge protein);Cytochrome b-c1 complex subunit 6-1, mitochondrial (Complex III subunit 6-1) (Complex III subunit VI) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6-1);Cytochrome b-c1 complex subunit 6-2, mitochondrial (Complex III subunit 6-2) (Complex III subunit VI) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6-2)
g27294	275	AT1G15140.1	AT1G15140.1	other	GO:0009507;GO:0071949;GO:0009941;GO:0009579;GO:0009570;GO:0005507;GO:0004324;GO:0005576;GO:0016491	F9L1.8 protein (FAD/NAD(P)-binding oxidoreductase);FAD/NAD(P)-binding oxidoreductase
g27295	482	AT1G15160.1, AT1G15150.1, AT1G15180.1, AT1G15170.1	AT1G15170.1	orthologue	GO:0015297;GO:0016020;GO:0005886;GO:0042910;GO:1990961;GO:0005576;GO:0022857;GO:0009507;GO:0055085	MATE efflux family protein;Protein DETOXIFICATION 10 (AtDTX10) (Multidrug and toxic compound extrusion protein 10) (MATE protein 10);Protein DETOXIFICATION 11 (AtDTX11) (Multidrug and toxic compound extrusion protein 11) (MATE protein 11);Protein DETOXIFICATION 12 (AtDTX12) (Multidrug and toxic compound extrusion protein 12) (MATE protein 12);Protein DETOXIFICATION 13 (AtDTX13) (Multidrug and toxic compound extrusion protein 13) (MATE protein 13)
g27296	481	AT1G15160.1, AT1G15150.1, AT1G15180.1, AT1G15170.1	AT1G15170.1	orthologue	GO:0015297;GO:0016020;GO:0005886;GO:0042910;GO:1990961;GO:0005576;GO:0022857;GO:0009507;GO:0055085	MATE efflux family protein;Protein DETOXIFICATION 10 (AtDTX10) (Multidrug and toxic compound extrusion protein 10) (MATE protein 10);Protein DETOXIFICATION 11 (AtDTX11) (Multidrug and toxic compound extrusion protein 11) (MATE protein 11);Protein DETOXIFICATION 12 (AtDTX12) (Multidrug and toxic compound extrusion protein 12) (MATE protein 12);Protein DETOXIFICATION 13 (AtDTX13) (Multidrug and toxic compound extrusion protein 13) (MATE protein 13)
g27297	1036	AT1G79920.1, AT1G79930.1	AT1G79930.1	other	GO:0005634;GO:0005739;GO:0005737;GO:0006457;GO:0009408;GO:0005515;GO:0005524;GO:0000774;GO:0140662;GO:0005829;GO:0005886;GO:0009505;GO:0009506;GO:0016887	Heat shock 70 kDa protein 14 (Heat shock protein 70-14) (AtHsp70-14) (Heat shock protein 91);Heat shock 70 kDa protein 15 (Heat shock protein 70-15) (AtHsp70-15);Heat shock protein 70 (Hsp 70) family protein
g27298	147	AT1G15370.1	AT1G15370.1	other	GO:0030126;GO:0009507;GO:0006891;GO:0006890;GO:0005515;GO:0006886;GO:0000139	Coatomer subunit zeta
g27299	142	AT1G15380.1	AT1G15380.1	other	GO:0009414;GO:2000031;GO:0009787;GO:0005737;GO:0010045;GO:2000022;GO:0009408;GO:1902074;GO:0006970;GO:0010224;GO:0003674;GO:0006979;GO:0009409;GO:0009611;GO:0005886;GO:0006952;GO:0009753;GO:0016829;GO:0051595;GO:0140041	Glyoxylase I 4 (AtGLXI-like;4) (AtGLYI4)
g273	269	AT5G63790.2	AT5G63790.2	orthologue	GO:0000976;GO:0003677;GO:0006355;GO:0019760;GO:0005634;GO:0003700;GO:0071456;GO:0001666;GO:0009507;GO:0005515;GO:0043565	NAC domain containing protein 102;NAC domain-containing protein 102 (ANAC102)
g2730	595	AT3G47530.1	AT3G47530.1	orthologue	GO:0009451;GO:0005575;GO:0008270;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At3g47530
g27300	285	AT3G60510.3	AT3G60510.3	other	GO:0005739;GO:0003860;GO:0006574;GO:0006508;GO:0008233	3-hydroxyisobutyryl-CoA hydrolase (HIB-CoA hydrolase) (HIBYL-CoA-H) (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase);3-hydroxyisobutyryl-CoA hydrolase-like protein 1, mitochondrial (EC 3.1.2.-)
g27301	91					
g27302	263	AT1G15390.1	AT1G15390.1	orthologue	GO:0043686;GO:0005739;GO:0009505;GO:0009507;GO:0018206;GO:0031365;GO:0042586;GO:0006412;GO:0009570;GO:0046872	Peptide deformylase 1A, chloroplastic/mitochondrial (AtDEF1) (AtPDF1A) (PDF 1A) (EC 3.5.1.88) (Polypeptide deformylase)
g27303	298	AT1G15420.1	AT1G15420.1	other	GO:0000462;GO:0005634;GO:0005730;GO:0006364;GO:0009506;GO:0003674	WD repeat protein
g27304	344	AT1G15430.1	AT1G15430.1	orthologue	GO:0003674;GO:0005634;GO:0003700	Uncharacterized protein At1g15430
g27305	342	AT1G15470.1	AT1G15470.1	orthologue	GO:0000387;GO:0080008;GO:0005515;GO:0005576;GO:0005737;GO:0005634;GO:0003723;GO:0032797	Serine-threonine kinase receptor-associated protein
g27306	598	AT1G15480.1	AT1G15480.1	orthologue	GO:0005739;GO:0080156;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At1g15480, mitochondrial
g27307	867	AT1G15510.1	AT1G15510.1	orthologue	GO:0009451;GO:0009658;GO:0008270;GO:0009507;GO:0009416;GO:0043231;GO:0003723;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At1g15510, chloroplastic (Protein EARLY CHLOROPLAST BIOGENESIS 2) (AtECB2) (Protein VANILLA CREAM 1)
g27308	396	AT1G15570.1	AT1G15570.1	other	GO:0016538;GO:0000082;GO:0010444;GO:0005634;GO:0005515;GO:0010311;GO:2000123;GO:0044839;GO:0044772;GO:0000307;GO:0042023;GO:0005737;GO:0010389;GO:0051301	Cyclin-A2-3 (Cyc3c-At) (Cyclin-3c) (G2/mitotic-specific cyclin-A2-3) (CycA2;3)
g27309	225	AT1G15670.1	AT1G15670.1	other	GO:0080037;GO:0003674;GO:2000762;GO:0005634;GO:0005829;GO:0005515	F-box/kelch-repeat protein At1g15670
