Capsella_rubella	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006297293.1	584	AT3G08510.1	AT3G08510.1	orthologue	GO:0009556;GO:0004435;GO:0048437;GO:0042742;GO:0048015;GO:0004629;GO:0035556;GO:0051209;GO:0005886;GO:0010601;GO:0005515;GO:0009553;GO:0016042;GO:0006629;GO:0007165;GO:0008081	Phosphoinositide phospholipase C (EC 3.1.4.11);Phosphoinositide phospholipase C 2 (EC 3.1.4.11) (Phosphoinositide phospholipase PLC2) (AtPLC2) (PI-PLC2)
XP_006297296.1	583	AT3G01510.1	AT3G01510.1	orthologue	GO:0009507;GO:0005983;GO:0009570;GO:0009569;GO:0006470;GO:0019203;GO:0043036;GO:0004721;GO:0044042;GO:0016311;GO:0005515	Like SEX4 1;Phosphoglucan phosphatase LSF1, chloroplastic (EC 3.1.3.-) (Phosphoglucan phosphatase like sex Four1) (Protein LIKE SEX4 1)
XP_006297298.1	582				GO:0005515;GO:0005886	
XP_006297300.1	582	AT2G17250.1	AT2G17250.1	orthologue	GO:0005730;GO:0030692;GO:0006364;GO:0005654;GO:0003674;GO:0009793;GO:0005634;GO:0032040;GO:0031965;GO:1990904;GO:0042254	Protein NUCLEOLAR COMPLEX ASSOCIATED 4 (AtNoc4) (Protein EMBRYO DEFECTIVE 2762)
XP_006297302.1	581	AT2G20800.1	AT2G20800.1	orthologue	GO:0016491;GO:0003954;GO:0005509;GO:0005739;GO:0009507;GO:0006116;GO:0005758;GO:0005777;GO:0031314;GO:0050136	External alternative NAD(P)H-ubiquinone oxidoreductase B4, mitochondrial (EC 1.6.5.9) (External alternative NADH dehydrogenase NDB4) (NADH:ubiquinone reductase (non-electrogenic) NDB4)
XP_006297303.1	580	AT2G05810.1	AT2G05810.1	orthologue	GO:0009507;GO:0003674;;GO:0005515	ARM repeat superfamily protein (At2g05810)
XP_006297304.2	495	AT3G16560.1	AT3G16560.1	orthologue	GO:0017018;GO:0005739;GO:0007165;GO:0004722;GO:0005737;GO:0005515;GO:0046872;GO:0006470	Probable protein phosphatase 2C 40 (AtPP2C40) (EC 3.1.3.16) (Protein phosphatase 2C homolog 1);Protein phosphatase 2C family protein
XP_006297307.2	651	AT3G22420.3	AT3G22420.3	orthologue	GO:0004672;GO:0048573;GO:0005737;GO:0035556;GO:0004674;GO:0006468;GO:0005524;GO:0005634;GO:0106310	Serine/threonine-protein kinase WNK2 (AtWNK2) (EC 2.7.11.1) (Protein kinase with no lysine 2);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_006297308.1	577	AT3G04610.1	AT3G04610.1	orthologue	GO:0003729;GO:0009911;GO:0005515;GO:0005737;GO:0005634;GO:0003723;GO:0003676	Flowering locus K homology domain (Flowering locus KH domain);RNA-binding KH domain-containing protein
XP_006297309.1	577	AT2G04740.1	AT2G04740.1	orthologue	GO:0005737;GO:0016567;GO:0000151;GO:0003674;GO:0031347;GO:0042742;GO:0045087;GO:0005515	Ankyrin repeat family protein;BTB/POZ domain-containing protein At2g04740
XP_006297310.1	575	AT2G17890.1	AT2G17890.1	orthologue	GO:0004683;GO:0005516;GO:0004674;GO:0051592;GO:0005886;GO:0004672;GO:0009931;GO:0005737;GO:0035556;GO:0005509;GO:0005634;GO:0005524;GO:0106310;GO:0006468	Calcium-dependent protein kinase 16 (EC 2.7.11.1)
XP_006297312.1	574	AT3G07050.1	AT3G07050.1	orthologue	GO:0048444;GO:0005730;GO:0045995;GO:0048825;GO:0005634;GO:0042659;GO:0010077;GO:0045604;GO:0045892;GO:0003729;GO:0009506;GO:2000024;GO:0005515;GO:0005525	Guanine nucleotide-binding protein-like NSN1 (Nucleolar GTP-binding protein NSN1) (DAR GTPase 4) (Protein nucleostemin-like 1)
XP_006297313.1	574	AT3G21160.1	AT3G21160.1	orthologue	GO:0036503;GO:0005783;GO:0004571;GO:0005768;GO:0006486;GO:0005509;GO:0005794;GO:0004559;GO:0048364;GO:0006491;GO:0000139;GO:0005802;GO:0005975;GO:0000137;GO:0012505;GO:0016020;GO:1904382	Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS2 (AtMANIa) (EC 3.2.1.113) (Alpha-mannosidase IA);alpha-1,2-Mannosidase (EC 3.2.1.-)
XP_006297314.1	572	AT3G01175.1	AT3G01175.1	orthologue	GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
XP_006297316.1	571	AT3G12200.2	AT3G12200.2	orthologue	GO:0005737;GO:0004674;GO:0005524;GO:0005886;GO:0004672;GO:0016310;GO:0005634;GO:0106310;GO:0006468;GO:0007017;GO:0055028	NIMA-related kinase 7;Serine/threonine-protein kinase Nek7 (EC 2.7.11.34) (NimA-related protein kinase 7) (AtNek7)
XP_006297317.1	571	AT2G15390.2	AT2G15390.2	orthologue	GO:0031127;GO:0009651;GO:0008417;GO:0008107;GO:0006486;GO:0009969;GO:0005794;GO:0042546;GO:0016757;GO:0032580;GO:0071555;GO:0016020	Probable fucosyltransferase 4 (AtFUT4) (EC 2.4.1.-)
XP_006297318.2	537	AT3G16110.1	AT3G16110.1	orthologue	GO:0034976;GO:0006457;GO:0005829;GO:0003756;GO:0005783;GO:0009507;GO:0005788	Protein disulfide isomerase-like 1-6 (AtPDIL1-6) (EC 5.3.4.1) (Protein disulfide isomerase 4) (AtPDI4) (Protein disulfide isomerase-like 3-2) (AtPDIL3-2)
XP_006297320.1	569	AT3G16910.1	AT3G16910.1	orthologue	GO:0006097;GO:0019605;GO:0003987;GO:0005829;GO:0006083;GO:0031956;GO:0005777;GO:0016208;GO:0005739	Acetate/butyrate--CoA ligase AAE7, peroxisomal (EC 6.2.1.1) (EC 6.2.1.2) (AMP-binding protein 7) (AtAMPBP7) (Acetyl-CoA synthetase) (Acyl-activating enzyme 7) (Butyryl-CoA synthetase) (Protein ACETATE NON-UTILIZING 1)
XP_006297321.2	519	AT2G16370.1	AT2G16370.1	orthologue	GO:0004799;GO:0006231;GO:0009257;GO:0046654;GO:0005515;GO:0005829;GO:0005737;GO:0004146;GO:0005739;GO:0006730;GO:0032259;GO:0016020;GO:0016741	Bifunctional dihydrofolate reductase-thymidylate synthase 1 (DHFR-TS 1) [Includes: Dihydrofolate reductase (EC 1.5.1.3); Thymidylate synthase (EC 2.1.1.45)];Thymidylate synthase 1
XP_006297322.1	568	AT3G18750.1	AT3G18750.1	orthologue	GO:0004672;GO:0005737;GO:0004674;GO:0005524;GO:0005634;GO:0035556;GO:0006468;GO:0106310	Probable serine/threonine-protein kinase WNK6 (AtWNK6) (EC 2.7.11.1) (Protein kinase with no lysine 6);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_006297323.1	568	AT3G23310.1	AT3G23310.1	orthologue	GO:0004674;GO:0016301;GO:0018105;GO:0006468;GO:0035556;GO:0005634;GO:0005524;GO:0005737;GO:0004672	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_006297324.1	568	AT3G22670.1	AT3G22670.1	orthologue	GO:0005739;GO:0003723;GO:0008150;GO:0009507;GO:0010019;GO:0031930;GO:0005515	Pentatricopeptide repeat-containing protein At3g22670, mitochondrial
XP_006297326.1	568	AT3G18600.1	AT3G18600.1	orthologue	GO:0003724;GO:0000463;GO:0005730;GO:0005634;GO:0003723;GO:0005524;GO:0016887;GO:0003676	DEAD-box ATP-dependent RNA helicase 51 (EC 3.6.4.13)
XP_006297327.2	556	AT3G21300.1	AT3G21300.1	orthologue	GO:0005575;GO:0003729;GO:0006396;GO:0008173;GO:0009409;GO:0001510;GO:0008757;GO:0030696	RNA methyltransferase family protein (RNA methyltransferase-like protein)
XP_006297328.1	567	AT2G12550.1	AT2G12550.1	orthologue	GO:0003674;GO:2000058;GO:0005634;GO:0031593;GO:0005515	At2g12550 (Ubiquitin-associated (UBA)/TS-N domain-containing protein)
XP_006297329.1	567	AT3G08670.1	AT3G08670.1	orthologue	GO:0055028;GO:0043622;GO:0005634;GO:0006979;GO:0003674	At3g08670 (Serine/arginine repetitive matrix-like protein)
XP_006297331.1	566	AT3G07780.2	AT3G07780.2	orthologue	GO:0010071;GO:0042803;GO:0031347;GO:0009793;GO:0046982;GO:0005515;GO:0005654;GO:0010492;GO:0080022;GO:0010468;GO:0010078;GO:0005634;GO:0000792;GO:0009507;GO:0046740;GO:0009536;GO:0042802;GO:0008270	Protein OBERON;Protein OBERON 1 (Potyvirus VPg-interacting protein 2)
XP_006297334.1	566	AT3G02810.1	AT3G02810.1	orthologue	GO:0003674;GO:0010183;GO:0005886;GO:0005634;GO:0090404;GO:0004674;GO:0005524;GO:0004672;GO:0006468	Receptor-like kinase LIP2 (EC 2.7.11.-) (Protein LOST IN POLLEN TUBE GUIDANCE 2) (AtLIP2)
XP_006297335.1	565	AT3G05220.1	AT3G05220.1	orthologue	GO:0009506;GO:0005576;GO:0003674;GO:0046872	Heavy metal transport/detoxification superfamily protein;Heavy metal-associated isoprenylated plant protein 34 (AtHIP34)
XP_006297339.1	563	AT2G17190.1	AT2G17190.1	orthologue	GO:0006511;GO:0005829;GO:0005739;GO:0005515;GO:0031593;GO:0005634	Ubiquitin domain-containing protein DSK2a
XP_006297340.1	563	AT2G17370.1	AT2G17370.1	orthologue	GO:0016126;GO:0008299;GO:0016104;GO:0004420;GO:0043231;GO:0015936;GO:0005778;GO:0005789;GO:0005634;GO:0005515;GO:0016616	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 (AtHMGR2) (HMG-CoA reductase 2) (EC 1.1.1.34)
XP_006297341.1	557	AT3G06370.3	AT3G06370.3	orthologue	GO:1902600;GO:0009651;GO:0098719;GO:0006885;GO:0015386;GO:0000325;GO:0015081;GO:0005774;GO:0071805;GO:0051453;GO:0009507;GO:0015385;GO:0005886;GO:0006813;GO:0016020;GO:0006814;GO:0055085;GO:0006812;GO:0015297	Sodium hydrogen exchanger 4;Sodium/hydrogen exchanger 3 (Na(+)/H(+) exchanger 3) (NHE-3)
XP_006297342.1	562	AT2G20110.2	AT2G20110.2	orthologue	GO:0006355;GO:0005634;GO:0003700;GO:0005515;GO:0046872	Protein tesmin/TSO1-like CXC 6 (AtTCX6);Tesmin/TSO1-like CXC domain-containing protein
XP_006297343.1	561	AT3G04870.1	AT3G04870.1	orthologue	GO:0016120;GO:0009507;GO:0009941;GO:0052889;GO:0016719;GO:1901177;GO:0016117;GO:0009509;GO:0016491	Zeta-carotene desaturase, chloroplastic/chromoplastic (EC 1.3.5.6) (9,9'-di-cis-zeta-carotene desaturase) (Carotene 7,8-desaturase) (Protein CHLOROPLAST BIOGENESIS 5) (Protein PIGMENT DEFECTIVE 181) (Protein SPONTANEOUS CELL DEATH 1)
XP_006297345.1	561	AT3G19820.1	AT3G19820.1	orthologue	GO:0008202;GO:0016132;GO:0006694;GO:0003824;GO:0009826;GO:0000325;GO:0005634;GO:0071949;GO:0050614;GO:0005773;GO:0005516;GO:0005515;GO:0005737;GO:0009416;GO:0009808;GO:0009834;GO:0016628;GO:0005829;GO:0005783;GO:0016020;GO:0050660	Delta(24)-sterol reductase (EC 1.3.1.72) (Cell elongation protein DIMINUTO) (Cell elongation protein Dwarf1) (Protein CABBAGE1) (Protein ENHANCED VERY-LOW-FLUENCE RESPONSE 1)
XP_006297348.1	561	AT3G25140.1	AT3G25140.1	orthologue	GO:0000138;GO:0010289;GO:0016757;GO:0045489;GO:0005794;GO:0005739;GO:0047262;GO:0005768;GO:0005802;GO:0000139;GO:0007155	Galacturonosyltransferase 8 (EC 2.4.1.-) (Glycosyltransferase QUASIMODO1)
XP_006297349.1	560	AT2G20650.1	AT2G20650.1	orthologue	GO:0061630;GO:0043161;GO:0004842;GO:0005886;GO:0009827;GO:0016567;GO:0012505;GO:0008270;GO:0016020	Transmembrane E3 ubiquitin-protein ligase FLY2 (EC 2.3.2.27) (Protein FLYING SAUCER 2) (RING-type E3 ubiquitin transferase FLY2)
XP_006297350.1	559	AT3G08760.1	AT3G08760.1	orthologue	GO:0005634;GO:0004672;GO:0016310;GO:0005524;GO:0005886;GO:0006468	At3g08760 (Protein kinase superfamily protein)
XP_006297351.1	558	AT3G10500.1	AT3G10500.1	orthologue	GO:0045893;GO:0005634;GO:0000976;GO:0009819;GO:0005737;GO:0003700;GO:2000377;GO:0010150;GO:0005886;GO:0005789;GO:0016020;GO:0003677;GO:0006355	NAC domain containing protein 53;NAC domain-containing protein 53 (ANAC053) (Protein ANTHER INDEHISCENCE FACTOR) (Protein NTM1-like 4)
XP_006297352.1	557	AT3G06540.1	AT3G06540.1	orthologue	GO:0009860;GO:0004663;GO:0006886;GO:0009555;GO:2000541;GO:0010152;GO:0005737;GO:0016192;GO:0005829;GO:0005968;GO:0009846;GO:0005515;GO:0007264;GO:0031267;GO:0005092;GO:0005634;GO:0005096;GO:0018344	Rab escort protein 1 (AthREP)
XP_006297353.1	557	AT3G11830.1	AT3G11830.1	orthologue	GO:0051082;GO:0005829;GO:0006457;GO:0016887;GO:0140662;GO:0005832;GO:0005524	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta) (Chaperonin CCT7)
XP_006297355.1	556	AT3G10980.1	AT3G10980.1	orthologue	GO:0051762;GO:0005634;GO:0009975;GO:0016020	PLAC8 family protein
XP_006297356.1	553	AT2G13690.1	AT2G13690.1	orthologue	GO:0016567;GO:0003674;GO:0005634	BTB/POZ domain-containing protein At2g13690 (Protein PRL1-interacting factor G)
XP_006297358.1	552	AT3G19895.1	AT3G19895.1	orthologue	GO:0003674;GO:0005634	RING/U-box superfamily protein
XP_006297360.1	551	AT2G17290.1	AT2G17290.1	orthologue	GO:0009931;GO:0005739;GO:0006468;GO:0005515;GO:0035556;GO:0005509;GO:0004674;GO:0004683;GO:0005516;GO:1902456;GO:0009738;GO:0005886;GO:0005737;GO:0005829;GO:0016020;GO:0005634;GO:0010119;GO:0046777;GO:0005524;GO:0010359;GO:0106310;GO:0004672	Calcium-dependent protein kinase 6 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK3) (AtCDPK3) (Calmodulin-domain protein kinase CDPK isoform 6)
XP_006297361.1	550	AT1G48520.1	AT1G48520.1	orthologue	GO:0009507;GO:0009570;GO:0005739;GO:0050567;GO:0070681;GO:0005524;GO:0030956;GO:0032543;GO:0043436;GO:0016884;GO:0016874;GO:0003824	Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-)
XP_006297362.1	550	AT3G21060.1	AT3G21060.1	orthologue	GO:0048188;GO:0005634;GO:0010228;GO:0003674;GO:0005515	Protein RBL (COMPASS-like H3K4 histone methylation complex component RBL) (RBBP5-like protein) (AtRbBp5) (Retinoblastoma-binding protein-like)
XP_006297366.1	549	AT3G21240.1	AT3G21240.1	orthologue	GO:0016207;GO:0009620;GO:0009611;GO:0005575;GO:0009698;GO:0009411;GO:0005524;GO:0106286;GO:0016874;GO:0016405	4-coumarate--CoA ligase (EC 6.2.1.12);4-coumarate--CoA ligase 2 (4CL 2) (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 2) (At4CL2) (4-coumaroyl-CoA synthase 2) (Caffeate--CoA ligase) (EC 6.2.1.-)
XP_006297369.1	548	AT2G16380.1	AT2G16380.1	orthologue	GO:0070300;GO:0005794;GO:0005783;GO:0009507;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH7 (Protein SEC FOURTEEN HOMOLOGS 7) (AtSFH7);Sec14p-like phosphatidylinositol transfer family protein
XP_006297370.2	511	AT3G02660.1	AT3G02660.1	orthologue	GO:0004831;GO:0006437;GO:0009507;GO:0009793;GO:0005829;GO:0005739;GO:0009570;GO:0043039;GO:0003723;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Tyrosine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.1) (Protein EMBRYO DEFECTIVE 2768) (Protein EMBRYONIC FACTOR 31) (Tyrosyl-tRNA synthetase) (TyrRS)
XP_006297371.1	548	AT3G07740.4	AT3G07740.4	orthologue	GO:0006357;GO:0005515;GO:0009409;GO:0006338;GO:0003713;GO:0005634;GO:0003682;GO:0008270;GO:0003677	Transcriptional adapter;Transcriptional adapter ADA2a (AtADA2a)
XP_006297372.1	548	AT5G18480.1	AT5G18480.1	other	GO:0005794;GO:0010183;GO:0046513;GO:0015020;GO:0006673;GO:0005802;GO:0005576;GO:0005797;GO:0005768;GO:0009555;GO:1990482;GO:0016757;GO:0000139;GO:0046872	Inositol phosphorylceramide glucuronosyltransferase 1 (EC 2.4.1.17) (Glycogenin-like protein 6) (Plant glycogenin-like starch initiation protein 6)
XP_006297373.2	542	AT2G17470.2	AT2G17470.2	orthologue	GO:0015140;GO:0015743;GO:0005774;GO:0071423;GO:0009705;GO:0034220;GO:0016020	Aluminum activated malate transporter family protein;Aluminum-activated malate transporter 6 (AtALMT6)
XP_006297374.1	546	AT3G11440.1	AT3G11440.1	orthologue	GO:0000976;GO:0045893;GO:0009740;GO:0006355;GO:1990019;GO:0048235;GO:0048655;GO:0005634;GO:0048653;GO:0003700;GO:0045926;GO:0043068;GO:0008285;GO:0003677;GO:0009653;GO:0040008	Myb domain protein 65;Transcription factor MYB65 (Myb-related protein 65) (AtMYB65)
XP_006297375.1	546	AT3G07210.1	AT3G07210.1	orthologue	GO:0005634;GO:0003674	T1B9.12 protein
XP_006297376.1	546	AT2G17700.1	AT2G17700.1	orthologue	GO:0005515;GO:0006468;GO:0044024;GO:0007165;GO:0004674;GO:0004712;GO:0009658;GO:0005634;GO:0005829;GO:0005524;GO:0106310;GO:0004672	Serine/threonine-protein kinase STY8 (EC 2.7.11.1) (Serine/threonine/tyrosine-protein kinase 8)
XP_006297378.1	540	AT3G20410.1	AT3G20410.1	orthologue	GO:0007165;GO:0005886;GO:0035556;GO:0009931;GO:0005516;GO:0005509;GO:0004683;GO:0005737;GO:0005634;GO:0005829;GO:0006468;GO:0005524;GO:0106310;GO:0004672	Calcium-dependent protein kinase 9 (EC 2.7.11.1) (Calmodulin-domain protein kinase CDPK isoform 9)
XP_006297379.1	539	AT3G09720.1	AT3G09720.1	orthologue	GO:0003724;GO:0030490;GO:0005634;GO:0003723;GO:0005524;GO:0016887;GO:0005829;GO:0003676	DEAD-box ATP-dependent RNA helicase 57 (EC 3.6.4.13)
XP_006297380.1	539	AT3G10070.1	AT3G10070.1	orthologue	GO:0051123;GO:0006352;GO:0005669;GO:0003677;GO:0017025;GO:0005515;GO:0046982;GO:0005634;GO:0000124	Transcription initiation factor TFIID subunit 12 (TBP-associated factor 12) (AtTAF12)
XP_006297382.2	504	AT3G12340.1	AT3G12340.1	orthologue	GO:0003755;GO:0005634	Peptidyl-prolyl cis-trans isomerase FKBP43 (PPIase FKBP43) (EC 5.2.1.8) (FK506-binding protein 43) (AtFKBP43) (Immunophilin FKBP43) (Rotamase);peptidylprolyl isomerase (EC 5.2.1.8)
XP_006297383.1	538	AT3G21320.1	AT3G21320.1	orthologue	GO:0005634;GO:2000028;GO:0003674	EARLY FLOWERING protein
XP_006297385.1	538	AT3G11950.1	AT3G11950.1	orthologue	GO:0009941;GO:0005634;GO:0005737;GO:0009507;GO:0008270;GO:0007166;GO:0035591	F26K24.24 protein (TRAF-like superfamily protein)
XP_006297389.1	537	AT2G15020.1	AT2G15020.1	orthologue	GO:0003674;GO:0005575	At2g15020
XP_006297390.1	537	AT1G65660.1, AT4G37120.1, AT3G45950.1	AT1G65660.1	other	GO:0005681;GO:0005515;GO:0008380;GO:0003727;GO:0010100;GO:0000398;GO:0030628;GO:0010230;GO:0005634;GO:0008284;GO:0003674;GO:0008270;GO:0009416;GO:0009637;GO:0010114;GO:0010218;GO:1900140	Pre-mRNA-splicing factor SLU7;Pre-mRNA-splicing factor SLU7-A (Protein SWELLMAP 1);Pre-mRNA-splicing factor SLU7-B (Protein DOMINANT COP1-6 SUPPRESSOR 5) (Protein SWELLMAP 2)
XP_006297391.1	536	AT3G03530.1	AT3G03530.1	orthologue	GO:0009395;GO:0004629;GO:0005886;GO:0034480;GO:0052713;GO:0016788	Non-specific phospholipase C4 (EC 3.1.4.3)
XP_006297392.1	536	AT3G06720.1	AT3G06720.1	orthologue	GO:0006607;GO:0005730;GO:0005515;GO:0005635;GO:0006606;GO:0005634;GO:0061608;GO:0008139;GO:0009505;GO:0005737;GO:0009651;GO:0071555;GO:2000280	Importin subunit alpha-1 (IMPa-1) (Karyopherin subunit alpha-1) (KAP-alpha-1)
XP_006297394.1	536	AT3G21650.1	AT3G21650.1	orthologue	GO:0005739;GO:0005829;GO:1900458;GO:0005634;GO:0000159;GO:0045824;GO:0080183;GO:0019888;GO:0006952;GO:0009742;GO:0007165	Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' zeta isoform (AtB' zeta) (PP2A, B' subunit, zeta isoform)
XP_006297395.1	536	AT3G18830.1	AT3G18830.1	orthologue	GO:0010311;GO:0015575;GO:0005365;GO:0005351;GO:0009507;GO:0015168;GO:0015148;GO:0005354;GO:0015144;GO:0015576;GO:0015145;GO:0055056;GO:0015591;GO:0005886;GO:0016020;GO:0022857;GO:0055085	Polyol transporter 5 (Protein POLYOL TRANSPORTER 5) (AtPLT5) (Sugar-proton symporter PLT5)
XP_006297396.1	535	AT2G06000.1	AT2G06000.1	orthologue	GO:0009507;GO:0003674;;GO:0005515	Pentatricopeptide repeat-containing protein At2g06000
XP_006297398.1	526	AT5G15490.1	AT5G15490.1	other	GO:0052546;GO:0051287;GO:0006065;GO:0009505;GO:0006024;GO:0003979;GO:0005975;GO:0005737;GO:0005634;GO:0016616	UDP-glucose 6-dehydrogenase 3 (UDP-Glc dehydrogenase 3) (UDP-GlcDH 3) (UDPGDH 3) (EC 1.1.1.22) (At-UGD3)
XP_006297400.1	535	AT3G02530.1	AT3G02530.1	orthologue	GO:0051082;GO:0005832;GO:0006457;GO:0005737;GO:0005829;GO:0010043;GO:0140662;GO:0016887;GO:0005524	T-complex protein 1 subunit zeta 1 (TCP-1-zeta 1) (CCT-zeta 1) (Chaperonin CCT6A)
XP_006297401.1	535	AT2G20810.1	AT2G20810.1	orthologue	GO:0005794;GO:0010442;GO:0005634;GO:0016757;GO:0000137;GO:0052546;GO:0005802;GO:0048358;GO:0047262;GO:0005768;GO:0000139	Probable galacturonosyltransferase 10 (EC 2.4.1.-) (Like glycosyl transferase 4)
XP_006297403.1	535	AT2G17440.1	AT2G17440.1	orthologue	GO:0005886;GO:0035556;GO:0003674;GO:0005515;GO:0005737	Plant intracellular Ras-group-related LRR protein 5
XP_006297404.2	523	AT3G11070.1	AT3G11070.1	orthologue	GO:0003674;GO:0005634;GO:0005741;GO:0005829;GO:0005739;GO:0009707;GO:0019867	Outer membrane OMP85 family protein
XP_006297405.1	534	AT3G02710.1	AT3G02710.1	orthologue	GO:0003674;GO:0005681;GO:0008380;GO:0005634;GO:0005515	ARM repeat superfamily protein (At3g02710)
XP_006297406.1	533	AT3G08550.1	AT3G08550.1	orthologue	GO:0010215;GO:0005802;GO:0071482;GO:0009416;GO:0009749;GO:0009505;GO:0009831;GO:0009826;GO:0005794;GO:0030154;GO:0005737;GO:2001009;GO:0016757;GO:0060560;GO:0009737;GO:0010078;GO:0030244;GO:0005768;GO:0000138;GO:0009663;GO:0005886;GO:0009507;GO:0005576;GO:0009738;GO:0051301	Glycosyltransferase-like KOBITO 1 (EC 2.4.1.-) (Protein ABA INSENSITIVE 8) (Protein ELONGATION DEFECTIVE 1)
XP_006297409.1	532	AT3G23160.1	AT3G23160.1	orthologue	GO:0005575;GO:0003674;GO:0045927	Plant/protein (DUF668)
XP_006297410.1	532	AT3G07130.2	AT3G07130.2	orthologue	GO:0005576;GO:0009846;GO:0046872;GO:0009845;GO:0003993;GO:0008707;GO:0016787	Purple acid phosphatase (EC 3.1.3.2);Purple acid phosphatase 15 (EC 3.1.3.-) (EC 3.1.3.2) (Phytase)
XP_006297412.1	532	AT3G21070.3	AT3G21070.3	orthologue	GO:0003951;GO:0006741;GO:0005737;GO:0009507;GO:0019674;GO:0042736;GO:0016310;GO:0005524;GO:0016020	NAD kinase 1;NAD(+) kinase (EC 2.7.1.23);NAD(H) kinase 1 (AtNADK-1) (EC 2.7.1.23) (EC 2.7.1.86)
XP_006297413.1	532	AT3G24430.1	AT3G24430.1	orthologue	GO:0051536;GO:0016226;GO:0009507;GO:0140663;GO:0009570;GO:0005829;GO:0051539;GO:0005524;GO:0046872	Fe-S cluster assembly factor HCF101, chloroplastic (Protein HIGH CHLOROPHYLL FLUORESCENCE 101)
XP_006297414.1	532	AT3G14650.1, AT3G14660.1	AT3G14660.1	orthologue	GO:0005506;GO:0016705;GO:0004497;GO:0005575;GO:0020037;GO:0016020	Cytochrome P450 72A11 (EC 1.14.-.-);Cytochrome P450 72A13 (EC 1.14.-.-);Cytochrome P450, family 72, subfamily A, polypeptide 13
XP_006297415.2	497	AT2G18193.1	AT2G18193.1	orthologue	GO:0003674;GO:0005783;GO:0005524;GO:0006950;GO:0016020;GO:0016887	AAA-ATPase At2g18193 (EC 3.6.1.-)
XP_006297416.1	530	AT3G03640.1	AT3G03640.1	orthologue	GO:0009507;GO:0009651;GO:0005783;GO:0019762;GO:0004553;GO:0005975;GO:0008422	Probable inactive beta-glucosidase 25 (AtBGLU25)
XP_006297417.2	469	AT3G19270.2	AT3G19270.2	orthologue	GO:0046345;GO:0010295;GO:0005506;GO:0020037;GO:0005739;GO:0016020;GO:0016705;GO:0004497;GO:0016125;GO:0016491	(+)-abscisic acid 8'-hydroxylase (EC 1.14.14.137);Abscisic acid 8'-hydroxylase 4 (ABA 8'-hydroxylase 4) (EC 1.14.14.137) (Cytochrome P450 707A4)
XP_006297419.1	527	AT5G09620.1	AT5G09620.1	orthologue	GO:0005634;GO:0003674;GO:0005886;GO:0005515	Gb|AAD14519.1 (Octicosapeptide/Phox/Bem1p family protein);Octicosapeptide/Phox/Bem1p family protein
XP_006297422.1	526	AT3G20660.1	AT3G20660.1	orthologue	GO:0009705;GO:0005886;GO:0042631;GO:0009535;GO:0055085;GO:0022857;GO:0015144;GO:0005524;GO:0006811;GO:0016020	Organic cation/carnitine transporter 4 (AtOCT4)
XP_006297423.1	525	AT2G19400.1	AT2G19400.1	orthologue	GO:0005737;GO:0004674;GO:0005634;GO:0005515;GO:0009846;GO:0006468;GO:0035556;GO:0016301;GO:0016310;GO:0009555;GO:0005524;GO:0004672	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_006297424.1	525	AT3G09690.1	AT3G09690.1	orthologue	GO:0005634;GO:0003674	Alpha/beta-Hydrolases superfamily protein (At3g09690)
XP_006297425.1	524	AT2G20780.1	AT2G20780.1	orthologue	GO:0009507;GO:0015144;GO:0022857;GO:0005351;GO:0055085;GO:0016020;GO:0015293	Major facilitator superfamily protein;Probable polyol transporter 4
