Brassica_napus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013719136.1	236	AT3G17670.2	AT3G17670.2	orthologue	GO:0008150;GO:0003674;GO:0005634;GO:0009507;GO:0005515	At3g17670 (DnaJ/Hsp40 cysteine-rich domain superfamily protein);Tetratricopeptide repeat (TPR)-containing protein
XP_013719140.1	129	AT3G17675.1	AT3G17675.1	orthologue	GO:0005886;GO:0005576;GO:0008150;GO:0009055;GO:0009610;GO:0046872	Blue copper-binding protein-like (Cupredoxin superfamily protein)
XP_013719144.1	663	AT5G39900.1	AT5G39900.1	orthologue	GO:0009507;GO:0045727;GO:0097177;GO:0005739;GO:0003924;GO:0005525;GO:0005743;GO:0005759;GO:0006412;GO:0043022	Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)
XP_013719145.1	133	AT5G39950.1	AT5G39950.1	orthologue	GO:0005515;GO:0009507;GO:0000103;GO:0005829;GO:0016671;GO:0015035;GO:0005739;GO:0016712;GO:0006499	Thioredoxin H2 (AtTrxh2) (Thioredoxin 2) (AtTRX2)
XP_013719147.2	453	AT5G03490.1	AT5G03490.1	other	GO:0016757;GO:0008194;GO:0035251;GO:0005634	UDP-glycosyltransferase 89A2 (EC 2.4.1.-)
XP_013719148.1	166	AT1G02816.1	AT1G02816.1	orthologue	GO:0010629;GO:0005829;GO:0000325;GO:0003674;GO:0071215;GO:0005576;GO:0005634	F22D16.19 protein
XP_013719149.2	651	AT1G03560.1	AT1G03560.1	orthologue	GO:0005739;GO:0006396;GO:0007005;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At1g03560, mitochondrial
XP_013719150.2	264	AT2G44750.2, AT1G02880.6	AT1G02880.6	orthologue	GO:0004788;GO:0030975;GO:0006772;GO:0009229;GO:0005829;GO:0005524;GO:0016301	Thiamine pyrophosphokinase (EC 2.7.6.2);Thiamine pyrophosphokinase 1 (AtTPK1) (EC 2.7.6.2) (Thiamine kinase 1);Thiamine pyrophosphokinase 2 (AtTPK2) (EC 2.7.6.2) (Thiamine kinase 2);thiamine diphosphokinase (EC 2.7.6.2)
XP_013719153.1	333	AT1G02860.1	AT1G02860.1	orthologue	GO:0005739;GO:0080021;GO:0009626;GO:0009697;GO:0004842;GO:0010167;GO:0005515;GO:0009751;GO:0005634;GO:0010337;GO:0042742;GO:0009627;GO:0016567;GO:0005737;GO:0005886;GO:0008270;GO:0016607;GO:0061630	E3 ubiquitin-protein ligase NLA (EC 2.3.2.27) (Protein BENZOIC ACID HYPERSENSITIVE 1) (Protein NITROGEN LIMITATION ADAPTATION) (RING-type E3 ubiquitin transferase BAH1);RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_013719154.1	324	AT4G23340.1	AT4G23340.1	orthologue	GO:0005737;GO:0009507;GO:0016706;GO:0016491;GO:0046872	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
XP_013719155.2	194	AT1G02870.1	AT1G02870.1	orthologue	GO:0005730;GO:0042273;GO:0003674;GO:0005634	Nucleolar protein 16
XP_013719157.3	529	AT2G34350.1	AT2G34350.1	orthologue	GO:0055085;GO:0022857;GO:0016020	Nodulin-like / Major Facilitator Superfamily protein (Nodulin-like protein)
XP_013719158.1	521	AT2G34355.1	AT2G34355.1	orthologue	GO:0055085;GO:0016020;GO:0005739;GO:0022857	At2g34355 (Major facilitator superfamily protein);Major facilitator superfamily protein
XP_013719160.1	390	AT1G03790.1	AT1G03790.1	orthologue	GO:0010187;GO:0006355;GO:0005634;GO:0005737;GO:0005515;GO:0003700;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 2 (AtC3H2) (Protein SOMNUS) (SOM) (Tandem CCCH Zinc Finger protein 4) (AtTZF4)
XP_013719161.2	328					
XP_013719162.1	214	AT1G02750.1	AT1G02750.1	orthologue	GO:0003674;GO:0005634;GO:0005737	Drought-responsive family protein;Protein DEHYDRATION-INDUCED 19 homolog 2 (AtDi19-2)
XP_013719164.1	156	AT1G03430.1	AT1G03430.1	orthologue	GO:0009736;GO:0009557;GO:0009927;GO:0043424;GO:0005737;GO:0000160;GO:0005634;GO:0080036;GO:0016310;GO:0009560;GO:0007165;GO:0005829	Histidine-containing phosphotransfer protein;Histidine-containing phosphotransfer protein 5
XP_013719169.2	593	AT2G33860.1	AT2G33860.1	orthologue	GO:0000976;GO:0010158;GO:0003677;GO:0005515;GO:0006355;GO:0005634;GO:0031490;GO:0010582;GO:0010050;GO:1902584;GO:0003700;GO:0009733;GO:0009850;GO:0009734;GO:0036094;GO:0140677;GO:0009725	Auxin response factor;Auxin response factor 3 (Protein ETTIN)
XP_013719170.1	304	AT2G33820.3	AT2G33820.3	orthologue	GO:0005739;GO:0000064;GO:0005290;GO:1990575;GO:0015189;GO:0005743;GO:0005342;GO:0031966;GO:0006810;GO:0022857	Mitochondrial arginine transporter BAC1 (Mitochondrial basic amino acid carrier 1) (AtMBAC1);Mitochondrial substrate carrier family protein
XP_013719171.1	141	AT2G33810.1	AT2G33810.1	orthologue	GO:0010262;GO:0009911;GO:0003677;GO:0003700;GO:0005634;GO:0010229;GO:0010228;GO:0009908;GO:0010321;GO:0005737;GO:0008270;GO:0030154	Squamosa promoter-binding-like protein 3
XP_013719172.2	348	AT1G03760.1	AT1G03760.1	orthologue	GO:0000122;GO:0005634;GO:0005829;GO:2001243;GO:0019212;GO:0005515;GO:0003714;GO:0003682;GO:0006457;GO:0009409;GO:0010923	Prefoldin chaperone subunit family protein
XP_013719173.2	140	AT1G03810.1	AT1G03810.1	orthologue	GO:0003674;GO:0005634;GO:0008150	F11M21.26 protein (Nucleic acid-binding, OB-fold-like protein)
XP_013719178.1	174	AT1G03150.1	AT1G03150.1	orthologue	GO:0031416;GO:0032956;GO:0004596;GO:0016747;GO:0120518;GO:0017196	N-terminal acetyltransferase B complex catalytic subunit NAA20 (EC 2.3.1.254) (NatB N-alpha-terminal acetylation complex catalytic subunit)
XP_013719179.2	536	AT2G34180.1	AT2G34180.1	orthologue	GO:0005634;GO:0006468;GO:0061891;GO:0007165;GO:0004674;GO:0044024;GO:0048768;GO:0005515;GO:0005737;GO:0019722;GO:0005524;GO:0106310;GO:0004672	CBL-interacting serine/threonine-protein kinase 13 (EC 2.7.11.1) (SNF1-related kinase 3.7) (SOS2-like protein kinase PKS10)
XP_013719181.1	323	AT1G03360.1	AT1G03360.1	orthologue	GO:0000956;GO:0000460;GO:0071051;GO:0000177;GO:0034475;GO:0071035;GO:0005654;GO:0060149;GO:0000467;GO:0003723;GO:0071038;GO:0005737;GO:0000176;GO:0071034;GO:0005730;GO:0000178;GO:0034427;GO:0043928;GO:0003676	Exosome complex component RRP4 homolog (Ribosomal RNA-processing protein 4) (AtRRP4) (AtRrp4p)
XP_013719182.2	256	AT1G03470.1	AT1G03470.1	orthologue	GO:0003779;GO:0005634;GO:0005774;GO:0005884;GO:0031965;GO:0005856	Protein NETWORKED 3A
XP_013719185.2	463	AT1G03390.1	AT1G03390.1	orthologue	GO:0005737;GO:0016747	F21B7.2 (Transferase family protein)
XP_013719187.2	361	AT1G03410.1	AT1G03410.1	orthologue	GO:0003674;GO:0005737;GO:0009058;GO:0046872;GO:0051213	1-aminocyclopropane-1-carboxylate oxidase homolog 5 (EC 1.14.-.-);2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
XP_013719188.1	182	AT5G38700.1	AT5G38700.1	orthologue	GO:0005575;GO:0003674	Cotton fiber protein
XP_013719189.1	128	AT1G02680.1	AT1G02680.1	orthologue	GO:0006366;GO:0048316;GO:0009793;GO:0009960;GO:0005634;GO:0046982;GO:0005886	Transcription initiation factor TFIID subunit 13 (TBP-associated factor 13) (AtTAF13)
XP_013719192.2	416	AT1G03457.2	AT1G03457.2	orthologue	GO:0048573;GO:0005634;GO:2000028;GO:0006402;GO:0005515;GO:0003729;GO:0005737;GO:1990904;GO:0003723;GO:0009908;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein;RNA-binding protein BRN2 (Protein BRUNO-LIKE 2) (AtBRN2)
XP_013719195.1	197				GO:0005634;GO:0005737;GO:0008408;GO:0003676	
XP_013719196.1	777				GO:0046983;GO:0003677;GO:0004664;GO:0009094	
XP_013719197.1	148	AT1G02813.1	AT1G02813.1	orthologue	GO:0010629;GO:0071215;GO:0005634;GO:0005886;GO:0003674;GO:0005829;GO:0005576	Uncharacterized protein
XP_013719200.2	314	AT2G31470.1	AT2G31470.1	other	GO:0005634;GO:0009788;GO:0009737;GO:0009414;GO:0042631;GO:0005515;GO:0016567;GO:0010118;GO:0010119;GO:0009738	F-box and associated interaction domains-containing protein;F-box protein DOR (Protein DROUGHT TOLERANCE REPRESSOR)
XP_013719201.2	958	AT5G51800.1	AT5G51800.1	orthologue	GO:0005634;GO:0003674;GO:0016301	Gb|AAB80672.1 (Protein kinase superfamily protein)
XP_013719202.1	295	AT1G03320.1	AT1G03320.1	orthologue	GO:0008150;GO:0005634;GO:0003674	F15K9.8
XP_013719210.1	404	AT1G43722.1	AT1G43722.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0004518;GO:0016787;GO:0046872	Nuclease
XP_013719211.2	314	AT2G19365.1	AT2G19365.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0003677	Myb/SANT-like DNA-binding domain protein
XP_013719213.2	183	AT1G03800.1	AT1G03800.1	orthologue	GO:0005634;GO:0009873;GO:0006355;GO:0005622;GO:0000976;GO:0003677;GO:0003700;GO:0005515	Ethylene-responsive transcription factor 10 (AtERF10) (Ethylene-responsive element-binding factor 10) (EREBP-10)
XP_013719215.2	453	AT2G07190.1	AT2G07190.1	other	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0016020	Transmembrane protein, putative (DUF1985)
XP_013719216.2	248	AT1G66550.1, AT1G66560.1, AT1G66600.1, AT1G80590.1	AT1G66550.1	other	GO:0003700;GO:0006355;GO:0000976;GO:0005634;GO:0009738;GO:0005515;GO:0043565;GO:0009651;GO:0000411;GO:0009737	Probable WRKY transcription factor 63 (WRKY DNA-binding protein 63);Probable WRKY transcription factor 64 (WRKY DNA-binding protein 64);Probable WRKY transcription factor 66 (WRKY DNA-binding protein 66);Probable WRKY transcription factor 67 (WRKY DNA-binding protein 67);WRKY DNA-binding protein 67
XP_013719221.1	153	AT2G34000.1	AT2G34000.1	other	GO:0003674;GO:0009507;GO:0008270;GO:0016020;GO:0016740	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_013719224.2	536	AT1G80540.1	AT1G80540.1	orthologue	GO:0003674;GO:0008150;GO:0005739;GO:0016020;GO:0005886;GO:0009506	Envelope glycoprotein B
XP_013719225.3	417	AT2G34380.1	AT2G34380.1	other	GO:0010162;GO:0009846;GO:0034389;GO:0005634;GO:0080155;GO:0019915;GO:0140042;GO:0005515;GO:0005789;GO:0005783;GO:0006629	Seipin-3 (AtSEIPIN3)
XP_013719230.2	591	AT1G03050.1	AT1G03050.1	orthologue	GO:0030136;GO:0006900;GO:0072583;GO:0009860;GO:0005546;GO:0005545;GO:0032050;GO:0005634;GO:0030276;GO:0005905;GO:0048268;GO:0045334;GO:0000149;GO:0090404;GO:0090406;GO:0072659;GO:0005794;GO:0005543	Putative clathrin assembly protein At1g03050
XP_013719231.3	456	AT1G80370.1	AT1G80370.1	orthologue	GO:0005634;GO:0010374;GO:0051301;GO:0000307;GO:0016538;GO:0005737;GO:0000082;GO:0010389;GO:0005515;GO:0044772	Cyclin-A2-4 (G2/mitotic-specific cyclin-A2-4) (CycA2;4)
XP_013719235.2	311	AT1G03040.3	AT1G03040.3	orthologue	GO:0005515;GO:0006357;GO:0005634;GO:0003700;GO:0000978;GO:0006355;GO:0046983;GO:0000981;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH7 (Basic helix-loop-helix protein 7) (AtbHLH7) (bHLH 7) (Transcription factor EN 92) (bHLH transcription factor bHLH007)
XP_013719239.1	245	AT1G03070.1	AT1G03070.1	orthologue	GO:0016020;GO:0030968;GO:0016595;GO:0005262	Protein LIFEGUARD 4 (AtLFG4)
XP_013719241.1	420	AT1G02790.1	AT1G02790.1	orthologue	GO:0047911;GO:0005576;GO:0005975;GO:0004650;GO:0071555	Exopolygalacturonase clone GBGE184 (ExoPG) (EC 3.2.1.67) (Galacturan 1,4-alpha-galacturonidase) (Pectinase)
XP_013719242.1	195	AT1G80200.2	AT1G80200.2	orthologue	GO:0008150;GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
XP_013719243.1	98	AT1G02820.1	AT1G02820.1	orthologue	GO:0003674;GO:0009414;GO:0009651;GO:0005634;GO:0009507;GO:0005829;GO:0006950;GO:0005739	Late embryogenis abundant protein 2
XP_013719244.1	253	AT1G02950.5	AT1G02950.5	orthologue	GO:0043295;GO:0009407;GO:0005737;GO:0009507;GO:0006749;GO:0004364;GO:0005829	Glutathione S-transferase F4 (AtGSTF4) (EC 2.5.1.18) (GST class-phi member 4) (Glutathione S-transferase 31);glutathione transferase (EC 2.5.1.18)
XP_013719246.1	93	AT1G03330.1	AT1G03330.1	orthologue	GO:0071013;GO:0000932;GO:1990726;GO:0071011;GO:0000398;GO:0005515;GO:0005634;GO:0005688;GO:0046540;GO:0003723;GO:0000290;GO:0005681;GO:0120115;GO:0006397	Sm-like protein LSM2 (AtLSM2) (U6 snRNA-associated Sm-like protein LSM2)
XP_013719247.1	140	AT2G34340.1	AT2G34340.1	orthologue	GO:0009739;GO:0003674;GO:0005634;GO:0071215;GO:0010150	At2g34340 (Expressed protein)
XP_013719249.1	147	AT2G33855.1	AT2G33855.1	orthologue	GO:0005739;GO:0003674;GO:0016020	At2g33855 (Transmembrane protein)
XP_013719250.1	218	AT1G03710.1	AT1G03710.1	other	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
XP_013719251.1	125	AT1G02830.1	AT1G02830.1	orthologue	GO:0003723;GO:0002181;GO:0022625;GO:0006412;GO:0003735;GO:0009507;GO:0005840	Large ribosomal subunit protein eL22x (Putative 60S ribosomal protein L22-1)
XP_013719252.1	198	AT1G80190.5	AT1G80190.5	orthologue	GO:1902983;GO:0000811;GO:0005634;GO:0006270;GO:0003674;GO:0006260	At1g80190 (F18B13.27 protein) (Partner of SLD five 1);Partner of SLD five 1
XP_013719253.1	150	AT1G02900.1	AT1G02900.1	orthologue	GO:0048364;GO:0030308;GO:0005179;GO:0048046;GO:0005576;GO:0019722;GO:0007267;GO:0005515;GO:0009506	Protein RALF-like 1 (Rapid alkalinization factor 1) (AtRALF1)
XP_013719258.3	553	AT1G03270.1	AT1G03270.1	orthologue	GO:0003674;GO:0010960;GO:0005774;GO:0005886;GO:0022857;GO:0016020;GO:0005737;GO:0030026	Putative DUF21 domain-containing protein At1g03270 (CBS domain-containing protein CBSDUF4)
XP_013719261.1	214	AT2G33793.1	AT2G33793.1	orthologue	GO:0007131;GO:0099086;GO:0005634;GO:0005515;GO:0016874	DNA ligase-like protein
XP_013719262.1	269	AT2G33850.1	AT2G33850.1	orthologue	GO:0071944;GO:0005576;GO:0003674;GO:0008150	E6-like protein (Expressed protein)
XP_013719264.2	220				GO:0030145	
XP_013719265.2	282	AT1G03550.1	AT1G03550.1	orthologue	GO:0005886;GO:0032588;GO:0055038;GO:0015031;GO:0003674;GO:0030658;GO:0016020	Secretory carrier-associated membrane protein (Secretory carrier membrane protein);Secretory carrier-associated membrane protein 2 (AtSC2) (Secretory carrier membrane protein 2)
XP_013719266.1	219	AT2G33790.1	AT2G33790.1	orthologue	GO:0071944;GO:2000033;GO:0005576;GO:2000280;GO:0003674	Non-classical arabinogalactan protein 30 (AtAGP30)
XP_013719267.2	361	AT1G03400.2, AT1G03410.1, AT1G06620.1, AT3G61400.1	AT1G03410.1	other	GO:0003674;GO:0005737;GO:0009815;GO:0009753;GO:0009620;GO:0005634;GO:0005829;GO:0016706;GO:0016629;GO:0009058;GO:0046872;GO:0051213;GO:0016020	1-aminocyclopropane-1-carboxylate oxidase homolog 1;1-aminocyclopropane-1-carboxylate oxidase homolog 4 (EC 1.14.-.-);1-aminocyclopropane-1-carboxylate oxidase homolog 5 (EC 1.14.-.-);1-aminocyclopropane-1-carboxylate oxidase homolog 8 (EC 1.14.-.-);2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
XP_013719268.3	521	AT1G02690.2	AT1G02690.2	other	GO:0006607;GO:0005515;GO:0061608;GO:0005634;GO:0010494;GO:0006606;GO:0005737;GO:0008139;GO:0005635	Importin subunit alpha;Importin subunit alpha-6 (IMPa-6)
XP_013719269.1	210	AT1G02920.1, AT1G02930.1	AT1G02930.1	orthologue	GO:0005634;GO:0010494;GO:0009507;GO:0005737;GO:0050897;GO:0009407;GO:0046686;GO:0004364;GO:0043295;GO:0005507;GO:0005829;GO:0005576;GO:0000325;GO:0006749;GO:0005739;GO:0009414;GO:2001227;GO:0009505;GO:2001147;GO:0006979;GO:0009506;GO:0050832;GO:0006952	Glutathione S-transferase F6 (AtGSTF6) (EC 2.5.1.18) (AtGSTF3) (GST class-phi member 6) (Glutathione S-transferase 1) (AtGST1) (Protein EARLY RESPONSE TO DEHYDRATION 11);Glutathione S-transferase F7 (EC 2.5.1.18) (AtGSTF8) (GST class-phi member 7) (Glutathione S-transferase 11)
XP_013719270.1	102	AT1G03020.1	AT1G03020.1	orthologue	GO:0010167;GO:0005737;GO:0005515;GO:0046872;GO:0051537	Monothiol glutaredoxin-S1 (AtGrxS1) (Protein ROXY 16)
XP_013719272.2	728	AT4G02570.1	AT4G02570.1	other	GO:0009793;GO:0031625;GO:0006511;GO:0009753;GO:0005515;GO:0005819;GO:0009867;GO:0016567;GO:0005634;GO:0042752;GO:0000794;GO:0009733;GO:0048366;GO:0005737;GO:0010265;GO:0010087;GO:0031461;GO:0000151;GO:0009524;GO:0009734;GO:0009873;GO:0019005	Cullin-1
XP_013719274.2	312	AT2G37330.1	AT2G37330.1	orthologue	GO:0003674;GO:0010044;GO:0005886	Protein ALUMINUM SENSITIVE 3 (ABC transporter I family member 16) (ABC transporter ABCI.16) (AtABCI16) (ybbM homolog protein)
XP_013719277.2	225	AT1G03710.1	AT1G03710.1	other	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
XP_013719283.1	164	AT1G03700.1	AT1G03700.1	orthologue	GO:0005886;GO:0003674	CASP-like protein 1C2 (AtCASPL1C2)
XP_013719284.2	481	AT2G37320.1	AT2G37320.1	orthologue	GO:0009451;GO:0009737;GO:0009735;GO:0043231;GO:0003723;GO:0009739;GO:0005739;GO:0009733;GO:0005515	Pentatricopeptide repeat-containing protein At2g37320
XP_013719287.1	477	AT1G03280.1	AT1G03280.1	orthologue	GO:0005634;GO:0006367;GO:0005673;GO:0003674	TFIIE-alpha 1 (Transcription factor TFIIE, alpha subunit)
XP_013719288.1	849	AT1G03310.1	AT1G03310.1	orthologue	GO:0019252;GO:0019156;GO:0009507;GO:0005977;GO:0010021;GO:0005983;GO:0043033;GO:0005975;GO:0004553	Isoamylase 2, chloroplastic (AtISA2) (Protein DEBRANCHING ENZYME 1)
XP_013719298.3	414	AT2G34080.1	AT2G34080.1	orthologue	GO:0005764;GO:0006508;GO:0004197;GO:0005576;GO:0051603;GO:0005615;GO:0008234	Cysteine proteinase
XP_013719301.1	177	AT1G03120.1	AT1G03120.1	orthologue	GO:0006873;GO:0005634;GO:0010226;GO:0005730;GO:0003674;GO:0009845;GO:0005829;GO:0005737	Late embryogenesis abundant protein 3 (LEA 3);Responsive to abscisic acid 28
XP_013719302.1	574	AT1G02810.1	AT1G02810.1	orthologue	GO:0030599;GO:0009507;GO:0042545;GO:0045490;GO:0004857;GO:0046910;GO:0005576	Probable pectinesterase/pectinesterase inhibitor 7 [Includes: Pectinesterase inhibitor 7 (Pectin methylesterase inhibitor 7); Pectinesterase 7 (PE 7) (EC 3.1.1.11) (Pectin methylesterase 1) (AtPME1) (Pectin methylesterase 7)]
XP_013719303.1	865	AT2G33770.1	AT2G33770.1	orthologue	GO:0061631;GO:0016036;GO:2000185;GO:0016567;GO:0004842;GO:0005634;GO:0005794;GO:0005783;GO:0005515;GO:0006817;GO:0055062;GO:0000139;GO:0005524;GO:0005789;GO:0016874	Probable ubiquitin-conjugating enzyme E2 24 (EC 2.3.2.23) (AtPHO2) (E2 ubiquitin-conjugating enzyme 24) (Ubiquitin carrier protein 24) (Ubiquitin-protein ligase 24)
XP_013719304.1	579	AT2G33760.1	AT2G33760.1	orthologue	GO:0005739;GO:0009451;GO:0008270;GO:0043231;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At2g33760
XP_013719306.2	409	AT2G37260.1	AT2G37260.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0043565;GO:0010214;GO:0090628;GO:0009957;GO:0046872	WRKY family transcription factor family protein;WRKY transcription factor 44 (Protein TRANSPARENT TESTA GLABRA 2) (WRKY DNA-binding protein 44)
XP_013719312.2	712	AT2G33730.1	AT2G33730.1	orthologue	GO:0071013;GO:0000398;GO:0035196;GO:0005515;GO:0005634;GO:0003729;GO:0140223;GO:0003724;GO:0005737;GO:0003723;GO:0005524;GO:0016887;GO:1903800;GO:2000636;GO:0003676	DEAD-box ATP-dependent RNA helicase 21 (EC 3.6.4.13)
XP_013719313.1	302	AT2G33800.1	AT2G33800.1	orthologue	GO:0005763;GO:0009535;GO:1901259;GO:0009570;GO:0006412;GO:0005634;GO:0005783;GO:0009409;GO:0015935;GO:0003729;GO:0009534;GO:0003735;GO:0009507;GO:0032544;GO:0009579;GO:0009955;GO:0019843;GO:0003723;GO:0005840	Small ribosomal subunit protein uS5c (30S ribosomal protein S5, chloroplastic)
XP_013719314.1	960	AT1G03380.1	AT1G03380.1	orthologue	GO:0042594;GO:0005737;GO:0003674;GO:0005774;GO:0006914;GO:0015031;GO:0034045;GO:0005515	Autophagy-related protein 18g (AtATG18g)
XP_013719316.2	475	AT2G34250.1	AT2G34250.1	orthologue	GO:0031204;GO:0006616;GO:0005783;GO:0005789;GO:0008320;GO:0003729;GO:0005515;GO:0005784;GO:0005048;GO:0043022;GO:0009535;GO:0015031;GO:0016020	AT2G34250 protein (At2g34250/F13P17.9) (SecY protein transport family protein)
XP_013719321.2	400	AT1G03630.1	AT1G03630.1	orthologue	GO:0005576;GO:0009535;GO:0016630;GO:0009941;GO:0015995;GO:0009507;GO:0009534;GO:0005515;GO:0003959;GO:0015979;GO:0031969	NADPH-protochlorophyllide oxidoreductase (EC 1.3.1.33);Protochlorophyllide reductase C, chloroplastic (PCR C) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase C) (POR C)
XP_013719322.2	853	AT1G03365.1	AT1G03365.1	orthologue	GO:0016567;GO:0005634;GO:0003674;GO:0008270;GO:0016740	Putative E3 ubiquitin-protein ligase RF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RF4)
XP_013719323.2	449	AT1G03590.1	AT1G03590.1	orthologue	GO:1902531;GO:0004722;GO:0017018;GO:0005575;GO:0046872;GO:0006470	Probable protein phosphatase 2C 1 (AtPP2C01) (EC 3.1.3.16) (AtPPC6;6)
XP_013719326.2	289	AT1G03210.2	AT1G03210.2	orthologue	GO:0016853;GO:0009058;GO:0003824;GO:0005737	F15K9.19 protein (Phenazine biosynthesis PhzC/PhzF protein);Phenazine biosynthesis PhzC/PhzF protein
XP_013719327.1	247	AT1G03250.2	AT1G03250.2	orthologue	GO:0005634;GO:0003676	At1g03250/F15K9_13 (R3H domain protein);R3H domain protein
XP_013719330.2	178	AT2G37200.2	AT2G37200.2	orthologue	GO:0005739;GO:0003674;GO:0016020;GO:0008150;GO:0005886	CASP-like protein;CASP-like protein 5A1 (AtCASPL5A1)
XP_013719331.2	389	AT1G03475.1	AT1G03475.1	orthologue	GO:0015995;GO:0009570;GO:0048046;GO:0006782;GO:0004109;GO:0005576;GO:0033014;GO:0005737;GO:0009507;GO:0009536;GO:0042803;GO:0006779	Coproporphyrinogen-III oxidase 1, chloroplastic (AtCPO-I) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3) (Protein LESION INITIATION 2)
XP_013719332.1	767	AT1G02640.1	AT1G02640.1	orthologue	GO:0045493;GO:0005576;GO:0031222;GO:0009044;GO:0046556;GO:0004553;GO:0005975	Probable beta-D-xylosidase 2 (AtBXL2) (EC 3.2.1.-)
XP_013719333.1	432	AT1G03350.1	AT1G03350.1	other	GO:0003674;GO:0008150;GO:0005737	BSD domain-containing protein (F15K9.5 protein)
XP_013719334.1	1176	AT1G02730.1	AT1G02730.1	orthologue	GO:0051753;GO:0005794;GO:0042546;GO:0009833;GO:0009414;GO:0030244;GO:0006970;GO:0009651;GO:0048367;GO:0000919;GO:0046527;GO:0016760;GO:0005886;GO:0000139;GO:0071555;GO:0016020	Cellulose synthase-like protein D5 (AtCslD5) (EC 2.4.1.-)
XP_013719335.2	242	AT1G02700.1	AT1G02700.1	orthologue	GO:0005739;GO:0003674	GATA transcription factor-like protein (T14P4.2 protein)
XP_013719338.2	1081	AT2G37010.1	AT2G37010.1	orthologue	GO:0005886;GO:0055085;GO:0022857;GO:0009506;GO:0016020;GO:0042626;GO:0140359;GO:0016887;GO:0005524	Putative white-brown complex homolog protein 30 (Putative non-intrinsic ABC protein 12) (WBC-related protein 1)
XP_013719339.1	385	AT2G33700.1	AT2G33700.1	orthologue	GO:0009414;GO:0009737;GO:0005634;GO:0009507;GO:0005737;GO:0009651;GO:0007165;GO:0017018;GO:0004722;GO:0046872;GO:0006470;GO:0043169	Probable protein phosphatase 2C 27 (AtPP2C27) (EC 3.1.3.16) (Probable protein phosphatase 2C G group 1) (AtPP2CG1)
XP_013719340.1	216	AT2G33710.2	AT2G33710.2	orthologue	GO:0006355;GO:0009873;GO:0005634;GO:0003700;GO:0005515;GO:0005730;GO:0003677	Ethylene-responsive transcription factor ERF112;Integrase-type DNA-binding superfamily protein
XP_013719342.2	395	AT1G03440.1	AT1G03440.1	orthologue	GO:0006952;GO:0007165;GO:0003674;GO:0005739;GO:0016020;GO:0005515	Leucine-rich repeat (LRR) family protein
