Brassica_rapa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_009135738.1	319	AT4G22240.1	AT4G22240.1	orthologue	GO:0009535;GO:0005739;GO:0010287;GO:0009507;GO:0009534;GO:0010117;GO:0009579;GO:0005829;GO:0009536;GO:0005515;GO:0031977	Probable plastid-lipid-associated protein 2, chloroplastic (AtPap2) (Fibrillin-1b)
XP_009135740.2	574	AT3G21230.1	AT3G21230.1	orthologue	GO:0016207;GO:0009507;GO:0009699;GO:0005524;GO:0050563;GO:0106286;GO:0016874;GO:0016405	4-coumarate--CoA ligase 4 (4CL 4) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumarate--CoA ligase isoform 5) (At4CL5) (4-coumaroyl-CoA synthase 4) (Sinapate--CoA ligase) (EC 6.2.1.-);4-coumarate:CoA ligase 5
XP_009135742.1	205	AT3G21270.1	AT3G21270.1	orthologue	GO:0003700;GO:0005634;GO:0006355;GO:0000976;GO:0008270;GO:0003677	Dof zinc finger protein DOF3.1 (AtDOF3.1)
XP_009135745.1	324	AT3G21330.1	AT3G21330.1	orthologue	GO:0006355;GO:0046983;GO:0003700;GO:0005515;GO:0000976;GO:0005634	Transcription factor bHLH87 (Basic helix-loop-helix protein 87) (AtbHLH87) (bHLH 87) (Transcription factor EN 121) (bHLH transcription factor bHLH087)
XP_009135746.2	898	AT3G21340.1	AT3G21340.1	orthologue	GO:0004674;GO:0016301;GO:0004713;GO:0005515;GO:0004714;GO:0016310;GO:0005576;GO:0005524;GO:0005886;GO:0106310;GO:0016020;GO:0004672;GO:0006468	Leucine-rich repeat protein kinase family protein;Receptor-like protein kinase At3g21340 (EC 2.7.10.1) (EC 2.7.11.1) (Leucine-rich repeat receptor-like protein kinase At3g21340)
XP_009135747.2	203	AT4G22250.1	AT4G22250.1	orthologue	GO:0005515;GO:0005575;GO:0008270	RING/U-box superfamily protein
XP_009135748.1	191	AT3G21400.1	AT3G21400.1	orthologue	GO:0005739;GO:0005829;GO:0008150;GO:0003674;GO:0032981	Dynein beta chain, ciliary protein
XP_009135754.1	717	AT3G21500.3	AT3G21500.3	orthologue	GO:0009507;GO:0016114;GO:0008661;GO:0052865;GO:0016744;GO:0015995;GO:0009228;GO:0019288;GO:0046872;GO:0019682	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7)
XP_009135757.1	446	AT3G21530.1	AT3G21530.1	orthologue	GO:0005783;GO:0006506;GO:0003824;GO:0016020	DNAse I-like superfamily protein
XP_009135758.1	384	AT3G21580.1	AT3G21580.1	orthologue	GO:0009507;GO:0005515;GO:0005886	Protein ABCI12, chloroplastic (ABC transporter I family member 12) (ABC transporter ABCI.12) (AtABCI12)
XP_009135760.1	172	AT3G21610.1	AT3G21610.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0016020	Acid phosphatase/vanadium-dependent haloperoxidase-related protein
XP_009135761.2	756	AT3G21620.1	AT3G21620.1	orthologue	GO:0005886;GO:0005227;GO:0008150;GO:0016020	Acid phosphatase/vanadium-dependent haloperoxidase-related protein;Hyperosmolality-gated Ca2+ permeable channel 1.5 (AtOSCA1.5)
XP_009135765.1	505	AT3G21690.1	AT3G21690.1	orthologue	GO:0016020;GO:1990961;GO:0022857;GO:0009507;GO:0005773;GO:0042910;GO:0000325;GO:0015297;GO:0005774;GO:0055085	Protein DETOXIFICATION 40 (AtDTX40) (Multidrug and toxic compound extrusion protein 40) (MATE protein 40)
XP_009135766.1	282	AT3G21700.3	AT3G21700.3	orthologue	GO:0090404;GO:0005525;GO:0003924;GO:0005739	Monomeric G-protein (Ras-related small GTP-binding family protein);Putative SGP1 monomeric G-protein (Ras-related small GTP-binding family protein);Ras-related small GTP-binding family protein
XP_009135767.1	213	AT3G21710.2	AT3G21710.2	orthologue	GO:0005829;GO:0005634;GO:0010089;GO:0003674	Vascular-related unknown protein 1
XP_009135769.2	576	AT3G21720.1	AT3G21720.1	orthologue	GO:0005737;GO:0009514;GO:0006097;GO:0004451;GO:0006099;GO:0046872;GO:0019752;GO:0003824	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratsysase)
XP_009135770.2	488	AT3G21760.1	AT3G21760.1	orthologue	GO:0080043;GO:0016757;GO:0008194;GO:0005575;GO:0035251	UDP-glycosyltransferase 71B2 (EC 2.4.1.-) (Protein HYPOSTATIN RESISTANCE 1)
XP_009135771.1	477	AT3G21760.1	AT3G21760.1	other	GO:0080043;GO:0016757;GO:0008194;GO:0005575;GO:0035251	UDP-glycosyltransferase 71B2 (EC 2.4.1.-) (Protein HYPOSTATIN RESISTANCE 1)
XP_009135772.1	466	AT3G21790.1	AT3G21790.1	orthologue	GO:0080043;GO:0005829;GO:0035251;GO:0008194	UDP-glycosyltransferase 71B7 (EC 2.4.1.-)
XP_009135773.1	282	AT3G21865.1	AT3G21865.1	orthologue	GO:0005739;GO:0005515;GO:0007031;GO:0005778;GO:0015031	Peroxisome biogenesis protein 22 (Peroxin-22) (AtPEX22)
XP_009135775.2	1932				GO:0015074;GO:0003676	
XP_009135776.1	443	AT4G22290.1	AT4G22290.1	orthologue	GO:0003674;GO:0005575;GO:0000245;GO:0004843;GO:0005681;GO:0008270;GO:0016579;GO:0006508;GO:0008233;GO:0016020	At4g22290 (Ubiquitin-specific protease family C19-related protein);Ubiquitin C-terminal hydrolases superfamily protein
XP_009135778.2	277	AT3G22120.2	AT3G22120.2	other	GO:0005575;GO:0003674	At3g22120 (Cell wall-plasma membrane linker protein);Cell wall-plasma membrane linker protein
XP_009135779.2	808	AT4G11850.1	AT4G11850.1	other	GO:0046470;GO:0009395;GO:0004630;GO:0009793;GO:0042742;GO:0005886;GO:0045087;GO:0005515;GO:0070290;GO:0005546;GO:0005829;GO:0006979;GO:0006643;GO:0005509;GO:0010044;GO:0016042;GO:0003824;GO:0016020	Phospholipase D gamma 1 (AtPLDgamma1) (PLD gamma 1) (EC 3.1.4.4) (Choline phosphatase) (Lecithinase D) (Lipophosphodiesterase II)
XP_009135781.1	404	AT3G22190.1	AT3G22190.1	orthologue	GO:0005886;GO:0090436;GO:0055028;GO:0070507;GO:0005876;GO:2001006;GO:0009524;GO:0051211;GO:0009574;GO:0072699;GO:0007017;GO:0005635;GO:0005634;GO:0035556;GO:0005874;GO:0016020;GO:0005516;GO:0005515	Protein IQ-DOMAIN 5 (AtIQD5)
XP_009135784.1	135	AT4G15000.1	AT4G15000.1	other	GO:0005737;GO:0005829;GO:0022625;GO:0003729;GO:0006412;GO:0022626;GO:0003735;GO:0005840;GO:1990904	Large ribosomal subunit protein eL27x (60S ribosomal protein L27-3);Ribosomal L27e protein family
XP_009135796.1	200	AT4G22320.1	AT4G22320.1	orthologue	GO:0005576;GO:0003674;GO:0005634	Golgin family A protein
XP_009135799.1	353	AT3G22290.1	AT3G22290.1	orthologue	GO:0030134;GO:0005783;GO:0003674;GO:0016020	Endoplasmic reticulum vesicle transporter protein
XP_009135801.2	287	AT3G22300.1	AT3G22300.1	orthologue	GO:0003735;GO:0005739;GO:0015935;GO:0005763;GO:0003729;GO:0006412;GO:0009507;GO:0005840	Small ribosomal subunit protein uS10m (40S ribosomal protein S10, mitochondrial)
XP_009135802.1	206	AT3G22320.1	AT3G22320.1	orthologue	GO:0006366;GO:0005665;GO:0001056;GO:0005666;GO:0003677;GO:0006362;GO:0006351;GO:0001054;GO:0000418;GO:0042797;GO:0003899;GO:0001055;GO:0005736;GO:0005634	DNA-directed RNA polymerases II and IV subunit 5A (RPB5a) (DNA-directed RNA polymerase II subunit E) (RNA polymerase I, II and III 24.3 kDa subunit) (AtRPB24.3)
XP_009135803.1	346	AT3G22370.1	AT3G22370.1	other	GO:0102721;GO:0005739;GO:0010230;GO:0031930;GO:0009507;GO:0009916;GO:0009409;GO:0045333;GO:0106292;GO:0005743;GO:0046872	Ubiquinol oxidase 1a, mitochondrial (EC 1.10.3.11) (Alternative oxidase 1a)
XP_009135804.2	1430	AT3G22380.2	AT3G22380.2	orthologue	GO:0005982;GO:0042752;GO:0006979;GO:0009414;GO:0005634;GO:0032502;GO:0009737;GO:0003674;GO:0048511	Protein TIME FOR COFFEE;Time for coffee
XP_009135806.1	565	AT3G22420.3	AT3G22420.3	orthologue	GO:0004672;GO:0048573;GO:0005737;GO:0035556;GO:0004674;GO:0006468;GO:0005524;GO:0005634;GO:0106310	Serine/threonine-protein kinase WNK2 (AtWNK2) (EC 2.7.11.1) (Protein kinase with no lysine 2);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_009135809.1	256					
XP_009135810.1	144	AT3G22480.1	AT3G22480.1	orthologue	GO:0043622;GO:0005515;GO:0005737;GO:0005634;GO:0006397;GO:0006457;GO:0051082;GO:0009409;GO:0016272;GO:0071370;GO:0044183	Prefoldin subunit 2 (Gene involved in microtubule biogenesis 4)
XP_009135811.1	551					
XP_009135814.1	151	AT3G22540.1	AT3G22540.1	other	GO:0003674;GO:0005575	At3g22540
XP_009135815.1	264	AT3G22550.1	AT3G22550.1	orthologue	GO:0071456;GO:0005515;GO:0009744;GO:0005634;GO:0009749;GO:0005783;GO:0042594;GO:0008270	FCS-Like Zinc finger 8
XP_009135817.2	252	AT4G14815.1, AT3G22600.1	AT3G22600.1	other	GO:0016020;GO:0008289;GO:0006869;GO:0140426;GO:0002237;GO:0005576;GO:0005829;GO:0050832;GO:0002240;GO:0009624;GO:0005886;GO:0098552;GO:0006508;GO:0008233	Non-specific lipid transfer protein GPI-anchored 26 (AtLTPG-26) (Protein LTP-GPI-ANCHORED 26) (Xylogen like protein 8) (AtXYLP8) (AtXYP14);Non-specific lipid transfer protein GPI-anchored 5 (AtLTPG-5) (Protein LTP-GPI-ANCHORED 5) (Xylogen like protein 12) (AtXYLP12) (AtXYP8)
XP_009135818.1	205	AT3G22620.1	AT3G22620.1	orthologue	GO:0003674;GO:0009941;GO:0008150;GO:0005886;GO:0098552	Non-specific lipid transfer protein GPI-anchored 20 (AtLTPG-20) (Protein LTP-GPI-ANCHORED 20)
XP_009135819.1	385	AT3G22650.2	AT3G22650.2	orthologue	GO:0010311;GO:0003674;GO:0009733;GO:0090406;;GO:0005515	Putative F-box protein At3g22650
XP_009135820.1	298	AT3G22660.1	AT3G22660.1	orthologue	GO:0034399;GO:0003924;GO:0006364;GO:0005515;GO:0005730;GO:0005634;GO:0042273;GO:0030687;GO:0003723	Probable rRNA-processing protein EBP2 homolog
XP_009135821.1	557	AT3G22670.1	AT3G22670.1	orthologue	GO:0005739;GO:0003723;GO:0008150;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At3g22670, mitochondrial
XP_009135822.1	161	AT3G22680.1	AT3G22680.1	orthologue	GO:0030422;GO:0000419;GO:0005515;GO:0080188;GO:0005634;GO:0003677;GO:0005654	Protein RDM1 (Protein RNA-directed DNA methylation 1)
XP_009135824.1	664	AT3G22780.1	AT3G22780.1	orthologue	GO:0010481;GO:0048444;GO:0010235;GO:0000976;GO:0009934;GO:0003700;GO:0005634;GO:0051302;GO:0046872	CRC domain-containing protein TSO1
XP_009135827.1	376	AT4G37440.1	AT4G37440.1	other	GO:0003674;GO:0005634	Uncharacterized protein;Uncharacterized protein At4g37440 (Uncharacterized protein F6G17.90)
XP_009135828.1	108	AT4G22310.1	AT4G22310.1	orthologue	GO:0006850;GO:0005739;GO:0005829;GO:0003674;GO:0005743	Mitochondrial pyruvate carrier 4
XP_009135829.1	391	AT3G22830.1	AT3G22830.1	orthologue	GO:0034605;GO:0006355;GO:0005634;GO:0000978;GO:0003700;GO:0006357;GO:0000976;GO:0005737;GO:0043565	Heat stress transcription factor A-6b (AtHsfA6b) (AtHsf-07)
XP_009135830.1	195	AT3G22840.1	AT3G22840.1	orthologue	GO:0071486;GO:0010380;GO:0009535;GO:0071490;GO:0009409;GO:0071483;GO:0071491;GO:0010030;GO:0071492;GO:0010117;GO:0034605;GO:0003674;GO:0009507;GO:0009416;GO:0009522;GO:0009523;GO:0015979	Early light-induced protein 1, chloroplastic
XP_009135831.1	219	AT3G22845.1	AT3G22845.1	orthologue	GO:0030134;GO:0006886;GO:0005794;GO:0000325;GO:0005783;GO:0006888;GO:0007030;GO:0005793;GO:0003674;GO:0005737;GO:0015031;GO:0016192;GO:0032580;GO:0012505;GO:0016020	Emp24/gp25L/p24 family/GOLD family protein;Transmembrane emp24 domain-containing protein p24beta3 (p24 family protein beta2) (p24beta2) (p24 family protein beta3) (p24beta3)
XP_009135832.1	249	AT3G22850.1	AT3G22850.1	orthologue	GO:0003674;GO:0005886;GO:0005737;GO:0005829	Aluminum induced protein with YGL and LRDR motifs
XP_009135833.2	462	AT3G22890.1	AT3G22890.1	orthologue	GO:0009570;GO:0000103;GO:0001887;GO:0004020;GO:0046686;GO:0009507;GO:0070814;GO:0004781;GO:0005524	ATP sulfurylase 1, chloroplastic (AtPS1) (EC 2.7.7.4)
XP_009135834.1	161	AT3G22930.1	AT3G22930.1	orthologue	GO:0005737;GO:0005509;GO:0030234;GO:0005575;GO:0043226;GO:0016460	Calmodulin-like 11;Calmodulin-like protein 11
XP_009135837.1	101	AT3G22942.1	AT3G22942.1	orthologue	GO:0005834;GO:0048527;GO:0005886;GO:0009845;GO:0005515;GO:0018345;GO:0005634;GO:0010540;GO:0018342;GO:0007186	Guanine nucleotide-binding protein subunit gamma 2 (Ggamma-subunit 2) (Heterotrimeric G protein gamma-subunit 2) (AtAGG2)
XP_009135839.1	565	AT3G22960.1	AT3G22960.1	orthologue	GO:0006096;GO:0004743;GO:0009507;GO:0009570;GO:0010431;GO:0005737;GO:0030955;GO:0006629;GO:0000287;GO:0005524;GO:0016301;GO:0003824	Plastidial pyruvate kinase 1, chloroplastic (PK1) (PKp1) (EC 2.7.1.40) (Pyruvate kinase II) (Pyruvate kinase isozyme A) (PKP-ALPHA)
XP_009135840.1	333	AT3G22970.1	AT3G22970.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0009507	At3g22970;Uncharacterized protein
XP_009135842.1	237	AT3G23050.1	AT3G23050.1	other	GO:0005515;GO:0009733;GO:0006355;GO:0009753;GO:0000976;GO:0005634;GO:0009611;GO:0009414;GO:0003700;GO:0009630;GO:0009734	Auxin-responsive protein;Auxin-responsive protein IAA7 (Auxin resistant 2) (Indoleacetic acid-induced protein 7)
XP_009135845.1	994	AT3G16030.6	AT3G16030.6	other	GO:0045087;GO:0009507;GO:0004674;GO:0005516;GO:0009620;GO:0004672;GO:0005634;GO:0005524;GO:0007165;GO:0005886;GO:0030246;GO:0106310;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase CES101 (EC 2.7.11.1) (Protein CALLUS EXPRESSION OF RBCS 101);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_009135850.1	103	AT3G23170.1	AT3G23170.1	orthologue	GO:0071456;GO:0005515;GO:0005634;GO:0005737;GO:0098542;GO:0006626	At3g23170
XP_009135851.1	216	AT3G23180.1	AT3G23180.1	orthologue	GO:0005739;GO:0005783;GO:0003674;GO:0016020	HR-like lesion-inducing protein
XP_009135852.2	286	AT3G23250.1	AT3G23250.1	orthologue	GO:0005515;GO:0005634;GO:0009414;GO:0009409;GO:0009651;GO:0003700;GO:0003677	Myb domain protein 15;Transcription factor MYB15 (Myb-related protein 15) (AtMYB15) (Myb-related protein Y19) (AtY19)
XP_009135853.1	606	AT3G23300.1	AT3G23300.1	orthologue	GO:0005634;GO:0005794;GO:0005802;GO:0005797;GO:0005737;GO:0000325;GO:0005768;GO:0000139;GO:0008168;GO:0032259	Probable methyltransferase PMT1 (EC 2.1.1.-)
XP_009135855.1	187					
XP_009135856.1	105	AT3G23390.1, AT4G14320.2	AT3G23390.1	other	GO:0005829;GO:0022625;GO:0005737;GO:0008150;GO:0003674;GO:0006412;GO:0003735;GO:0005840;GO:1990904	Large ribosomal subunit protein eL42z/eL42y (60S ribosomal protein L36a);Zinc-binding ribosomal protein family protein
XP_009135858.1	119	AT3G23440.1	AT3G23440.1	orthologue	GO:0009793;GO:0009561;GO:0005739;GO:0003674	Embryo sac development arrest 6
XP_009135859.1	870	AT3G23530.1, AT3G23510.1	AT3G23530.1	other	GO:0008168;GO:0016491;GO:0005737	AT3g23510/MEE5_5 (Cyclopropane-fatty-acyl-phospholipid synthase);Cyclopropane-fatty-acyl-phospholipid synthase
XP_009135860.2	293	AT1G56650.1	AT1G56650.1	other	GO:0031542;GO:0009718;GO:0019430;GO:0005634;GO:0005515;GO:0009733;GO:0071548;GO:0009867;GO:0000987;GO:0009745;GO:0009723;GO:0046283;GO:0002239;GO:0006355;GO:0031540;GO:0003700;GO:0003677	Transcription factor MYB75 (Myb-related protein 75) (AtMYB75) (Production of anthocyanin pigment 1 protein) (Suc-induced anthocyanin accumulation locus 1)
XP_009135862.2	480	AT3G23770.1	AT3G23770.1	orthologue	GO:0005975;GO:0005886;GO:0005576;GO:0042973;GO:0009506;GO:0098552;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
XP_009135863.1	730	AT3G23790.1	AT3G23790.1	orthologue	GO:0009941;GO:0006633;GO:0003674;GO:0009507;GO:0016874;GO:0008922;GO:0030497	Probable acyl-activating enzyme 16, chloroplastic (EC 6.2.1.-)
XP_009135865.1	485	AT3G23810.1	AT3G23810.1	orthologue	GO:0005737;GO:0003729;GO:0005829;GO:0033353;GO:0004013;GO:0005773;GO:0006730	Adenosylhomocysteinase 2 (AdoHcyase 2) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase 1) (SAH hydrolase 2)
XP_009135867.2	456	AT3G23820.1	AT3G23820.1	orthologue	GO:0005802;GO:0033481;GO:0005794;GO:0005515;GO:0005768;GO:0050378;GO:0050829;GO:0000138;GO:0050832;GO:0032580	UDP-glucuronate 4-epimerase 6 (EC 5.1.3.6) (UDP-glucuronic acid epimerase 6) (AtUGlcAE2)
XP_009135868.1	128	AT4G22380.1	AT4G22380.1	other	GO:0030490;GO:0000398;GO:0005730;GO:0046540;GO:0071011;GO:0042254;GO:0003723;GO:0005829;GO:0005634;GO:0032040;GO:0031428;GO:0005840;GO:1990904	At4g22380 (Ribosomal protein L7Ae-like) (Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein)
XP_009135869.1	334	AT3G23870.1	AT3G23870.1	orthologue	GO:0015095;GO:0005576;GO:0016020;GO:0015693;GO:0005769;GO:0005886	Probable magnesium transporter;Probable magnesium transporter NIPA1
XP_009135871.1	680	AT3G24090.1	AT3G24090.1	orthologue	GO:0006047;GO:0010208;GO:0006042;GO:0006487;GO:0004360;GO:0034976;GO:0072720;GO:0005737;GO:0006048;GO:0097367;GO:0006002;GO:0006541;GO:1901137;GO:1901135	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (AtGFAT) (AtGFAT1) (Glutamine:fructose-6-phosphate amidotransferase 1) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase GFAT1) (Hexosephosphate aminotransferase GFAT1)
XP_009135872.1	297	AT3G24120.2	AT3G24120.2	orthologue	GO:0000976;GO:0016036;GO:0005634;GO:0010468;GO:0006355;GO:0043565;GO:0010628;GO:0005515;GO:0003700;GO:0003677	Protein PHR1-LIKE 2 (Myb family transcription factor PHL2)
XP_009135874.1	328	AT5G18990.1, AT3G24130.1	AT3G24130.1	orthologue	GO:0042545;GO:0030599;GO:0045490;GO:0005576;GO:0052689	Probable pectinesterase 29 (PE 29) (EC 3.1.1.11) (Pectin methylesterase 29) (AtPME29);Probable pectinesterase 55 (PE 55) (EC 3.1.1.11) (Pectin methylesterase 55) (AtPME55)
XP_009135875.1	397	AT3G24140.1	AT3G24140.1	other	GO:0003700;GO:0005634;GO:0045893;GO:0005515;GO:0010444;GO:0010377;GO:0010052;GO:0051782;GO:0010374;GO:0046983;GO:0090547;GO:0045597;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor FAMA (Basic helix-loop-helix protein 97) (AtbHLH97) (bHLH 97) (Transcription factor EN 14) (bHLH transcription factor bHLH097)
XP_009135877.2	357	AT3G24160.1	AT3G24160.1	orthologue	GO:0005794;GO:0000137;GO:0000325;GO:0005783;GO:0003674;GO:0016020;GO:0012505	AT3g24160/MUJ8_16 (Type 1 membrane protein) (Type 1 membrane protein, putative)
XP_009135878.1	500	AT3G24170.1	AT3G24170.1	orthologue	GO:0004791;GO:0009860;GO:0005737;GO:0005777;GO:0050660;GO:0005829;GO:0045454;GO:0006749;GO:0004362;GO:0050661;GO:0016491;GO:0016668;GO:0005739;GO:0034599	Glutathione reductase, cytosolic (GR) (GRase) (EC 1.8.1.7) (OBP29)
XP_009135879.1	270	AT1G34290.1	AT1G34290.1	orthologue	GO:0008150;GO:0005575;GO:0005886;GO:0003674;GO:0005515	Receptor-like protein 5 (AtRLP5)
XP_009135880.1	271	AT4G22370.2	AT4G22370.2	orthologue	GO:0009507;GO:0003674;GO:0005739;GO:0008150;GO:0016020	Transmembrane protein
XP_009135882.1	577	AT3G23990.1	AT3G23990.1	orthologue	GO:0000373;GO:0005739;GO:0005759;GO:0022626;GO:0140662;GO:0042026;GO:0003723;GO:0005507;GO:0007005;GO:0005524;GO:0006457;GO:0000325;GO:0009507;GO:0009408;GO:0005829;GO:0051131;GO:0003735	Chaperonin CPN60, mitochondrial (HSP60)
XP_009135883.1	693	AT3G23980.1	AT3G23980.1	other	GO:0048826;GO:0005515;GO:0010091;GO:0048316;GO:0006355;GO:0051781;GO:0005634;GO:0009965;GO:0005794;GO:0009908;GO:0040008;GO:0005737	Protein BLISTER (Protein KOLD SENSITIV-1)
XP_009135884.1	564	AT3G23920.1	AT3G23920.1	orthologue	GO:0005983;GO:0009414;GO:0016161;GO:0005576;GO:0009507;GO:0000272	Beta-amylase 1, chloroplastic (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Beta-amylase 7) (Thioredoxin-regulated beta-amylase) (TR-BAMY)
XP_009135886.1	274	AT3G24310.1	AT3G24310.1	orthologue	GO:0000976;GO:0045893;GO:0005634;GO:0003700;GO:0006355;GO:0001216;GO:0043565	MYB-like DNA-binding domain protein (Myb domain protein 305)
XP_009135887.1	545	AT1G48520.1	AT1G48520.1	orthologue	GO:0009507;GO:0009570;GO:0005739;GO:0050567;GO:0070681;GO:0005524;GO:0030956;GO:0032543;GO:0043436;GO:0016884;GO:0003824;GO:0016874	Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-)
XP_009135888.1	359	AT4G22360.1	AT4G22360.1	orthologue	GO:0003674;GO:0005634	SWIB complex BAF60b domain-containing protein
XP_009135889.1	1066	AT3G24340.1	AT3G24340.1	orthologue	GO:0080188;GO:0140745;GO:0005634;GO:0140658;GO:0003677;GO:0004386;GO:0005524;GO:0016787;GO:1900370	SNF2 domain-containing protein CLASSY 4 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 40) (AtCHR40)
XP_009135890.1	339	AT3G24350.2	AT3G24350.2	orthologue	GO:0012505;GO:0006886;GO:0031201;GO:0005515;GO:0000139;GO:0048278;GO:0005484;GO:0006888;GO:0005794;GO:0061025;GO:0000149;GO:0006906;GO:0016192;GO:0016020	Syntaxin of plants 32;Syntaxin-32 (AtSYP32)
XP_009135891.1	423	AT3G24360.1	AT3G24360.1	orthologue	GO:0005829;GO:0009507;GO:0005739;GO:0003860;GO:0006574;GO:0006508;GO:0008233	3-hydroxyisobutyryl-CoA hydrolase (HIB-CoA hydrolase) (HIBYL-CoA-H) (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase);3-hydroxyisobutyryl-CoA hydrolase-like protein 4, mitochondrial (EC 3.1.2.-)
XP_009135893.1	140	AT3G24450.1	AT3G24450.1	orthologue	GO:0046872;GO:0005575	Heavy metal transport/detoxification superfamily protein
XP_009135895.1	412	AT3G24460.1	AT3G24460.1	orthologue	GO:0016020;GO:0008150;GO:0003674	AT3g24470/MXP5_4 (Serinc-domain containing serine and sphingolipid biosynthesis protein)
XP_009135900.2	273	AT4G12590.1	AT4G12590.1	other	GO:0072546;GO:0005783;GO:0005739;GO:0003674;GO:0016020;GO:0034975	ER membrane protein complex subunit 3
XP_009135901.2	501	AT3G24503.1	AT3G24503.1	orthologue	GO:0009699;GO:0004029;GO:0005829;GO:0050269;GO:0043878;GO:0005737;GO:0016620;GO:0016491	Aldehyde dehydrogenase family 2 member C4 (EC 1.2.1.3) (ALDH1a) (Protein REDUCED EPIDERMAL FLUORESCENCE 1)
XP_009135902.1	233	AT2G37780.1	AT2G37780.1	orthologue	GO:0005575;GO:0008150;GO:0003674	Cysteine/Histidine-rich C1 domain family protein
XP_009135906.1	155	AT4G09490.1	AT4G09490.1	other	GO:0004523;GO:0003676;GO:0008150;GO:0005575;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
XP_009135907.1	490	AT1G53370.2, AT1G53360.2	AT1G53360.2	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739;;GO:0005515	Putative F-box protein At1g53360;Putative F-box protein At1g53370
XP_009135908.2	1240	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT1G10000.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_009135911.1	196				GO:0140662;GO:0005524	
